"Time"	lldR	arcA	betI	xylR	gadX	torR	rutR	gadW	nemR	gadE	gadA	hdeB	yhiD	hdeA	gadC	cadA	cadB	gadB	mdtE	mdtF	betB	betT	lldD	gadY	betA	lldP	nemA	slp	dctR	hdeD	rutD	rutA
260	0,6520778	0,6708398	0,6331465	0,1331341	0,8606170	0,6210314	0,6400573	0,3938649	0,3955130	0,6821610	0,9769846	0,6023805	0,9034782	0,9638972	0,7220094	0,7472608	0,0589365	0,8944397	0,6998669	0,7831456	0,1408743	0,2437426	0,2060990	0,8179465	0,7707434	0,2729931	0,1573141	0,7381110	0,9413719	0,4006982	0,5228341	0,5290805
280	0,6594067	0,6708398	0,6331153	0,1326569	0,8605596	0,6210314	0,6400573	0,3939413	0,3955130	0,6817547	0,9768895	0,6018283	0,9031560	0,9640669	0,7214276	0,7471753	0,0589360	0,8941451	0,6992310	0,7824990	0,1408706	0,2441680	0,2056170	0,8178408	0,7709171	0,2757381	0,1572433	0,7380647	0,9413692	0,3996646	0,5228332	0,5287577
300	0,6652478	0,6708398	0,6331097	0,1322530	0,8605214	0,6210314	0,6400573	0,3939889	0,3955130	0,6814081	0,9768211	0,6014537	0,9029334	0,9641674	0,7209942	0,7470461	0,0589355	0,8939326	0,6987381	0,7819582	0,1408712	0,2444554	0,2051805	0,8177688	0,7710347	0,2779516	0,1572061	0,7380338	0,9413677	0,3988355	0,5228327	0,5285485
320	0,6699018	0,6708398	0,6331127	0,1319108	0,8604964	0,6210314	0,6400573	0,3940178	0,3955130	0,6811118	0,9767720	0,6012029	0,9027811	0,9642247	0,7206676	0,7469018	0,0589351	0,8937781	0,6983526	0,7815040	0,1408730	0,2446496	0,2048032	0,8177195	0,7711136	0,2797288	0,1571866	0,7380128	0,9413663	0,3981663	0,5228324	0,5284129
340	0,6736089	0,6708398	0,6331170	0,1316209	0,8604801	0,6210314	0,6400573	0,3940344	0,3955130	0,6808581	0,9767368	0,6010371	0,9026779	0,9642551	0,7204183	0,7467582	0,0589348	0,8936644	0,6980482	0,7811211	0,1408746	0,2447807	0,2044860	0,8176858	0,7711659	0,2811510	0,1571764	0,7379982	0,9413650	0,3976224	0,5228322	0,5283251
360	0,6765610	0,6708398	0,6331202	0,1313751	0,8604698	0,6210314	0,6400573	0,3940433	0,3955130	0,6806409	0,9767115	0,6009289	0,9026085	0,9642693	0,7202256	0,7466233	0,0589345	0,8935798	0,6978056	0,7807974	0,1408757	0,2448692	0,2042242	0,8176625	0,7712002	0,2822864	0,1571710	0,7379880	0,9413636	0,3971774	0,5228320	0,5282682
380	0,6789114	0,6708398	0,6331221	0,1311668	0,8604634	0,6210314	0,6400573	0,3940473	0,3955130	0,6804549	0,9766933	0,6008595	0,9025623	0,9642738	0,7200745	0,7465008	0,0589343	0,8935160	0,6976105	0,7805229	0,1408763	0,2449290	0,2040107	0,8176464	0,7712224	0,2831913	0,1571682	0,7379806	0,9413622	0,3968107	0,5228320	0,5282313
400	0,6807823	0,6708398	0,6331230	0,1309901	0,8604596	0,6210314	0,6400573	0,3940483	0,3955130	0,6802954	0,9766802	0,6008160	0,9025319	0,9642727	0,7199545	0,7463919	0,0589341	0,8934671	0,6974520	0,7802896	0,1408767	0,2449694	0,2038382	0,8176353	0,7712368	0,2839116	0,1571667	0,7379753	0,9413609	0,3965067	0,5228319	0,5282075
420	0,6822713	0,6708398	0,6331234	0,1308403	0,8604574	0,6210314	0,6400573	0,3940475	0,3955130	0,6801588	0,9766706	0,6007895	0,9025122	0,9642688	0,7198582	0,7462963	0,0589339	0,8934292	0,6973224	0,7800911	0,1408768	0,2449966	0,2036995	0,8176274	0,7712461	0,2844843	0,1571659	0,7379713	0,9413596	0,3962532	0,5228319	0,5281920
440	0,6834562	0,6708398	0,6331235	0,1307133	0,8604563	0,6210314	0,6400573	0,3940456	0,3955130	0,6800417	0,9766635	0,6007742	0,9024996	0,9642633	0,7197800	0,7462131	0,0589338	0,8933994	0,6972156	0,7799218	0,1408769	0,2450150	0,2035885	0,8176219	0,7712520	0,2849395	0,1571655	0,7379683	0,9413584	0,3960408	0,5228319	0,5281820
460	0,6843990	0,6708398	0,6331235	0,1306056	0,8604558	0,6210314	0,6400573	0,3940433	0,3955130	0,6799414	0,9766583	0,6007661	0,9024918	0,9642574	0,7197160	0,7461411	0,0589337	0,8933757	0,6971269	0,7797773	0,1408769	0,2450274	0,2034999	0,8176179	0,7712558	0,2853011	0,1571653	0,7379660	0,9413573	0,3958621	0,5228319	0,5281755
480	0,6851492	0,6708398	0,6331235	0,1305143	0,8604558	0,6210314	0,6400573	0,3940408	0,3955130	0,6798554	0,9766544	0,6007625	0,9024871	0,9642516	0,7196631	0,7460790	0,0589336	0,8933566	0,6970529	0,7796538	0,1408769	0,2450358	0,2034293	0,8176151	0,7712583	0,2855883	0,1571652	0,7379643	0,9413563	0,3957112	0,5228319	0,5281713
500	0,6857460	0,6708398	0,6331235	0,1304368	0,8604560	0,6210314	0,6400573	0,3940383	0,3955130	0,6797816	0,9766515	0,6007617	0,9024844	0,9642461	0,7196191	0,7460256	0,0589335	0,8933410	0,6969909	0,7795483	0,1408769	0,2450415	0,2033731	0,8176130	0,7712599	0,2858163	0,1571651	0,7379629	0,9413555	0,3955833	0,5228318	0,5281686
520	0,6862207	0,6708398	0,6331234	0,1303711	0,8604563	0,6210314	0,6400573	0,3940360	0,3955130	0,6797184	0,9766492	0,6007626	0,9024831	0,9642410	0,7195822	0,7459798	0,0589334	0,8933282	0,6969387	0,7794579	0,1408769	0,2450453	0,2033284	0,8176115	0,7712609	0,2859974	0,1571651	0,7379618	0,9413547	0,3954748	0,5228318	0,5281668
540	0,6865983	0,6708398	0,6331234	0,1303155	0,8604567	0,6210314	0,6400573	0,3940338	0,3955130	0,6796642	0,9766474	0,6007643	0,9024826	0,9642365	0,7195513	0,7459405	0,0589334	0,8933177	0,6968946	0,7793806	0,1408769	0,2450479	0,2032929	0,8176103	0,7712616	0,2861411	0,1571651	0,7379609	0,9413541	0,3953825	0,5228318	0,5281657
560	0,6868987	0,6708398	0,6331234	0,1302682	0,8604571	0,6210314	0,6400573	0,3940318	0,3955130	0,6796178	0,9766460	0,6007666	0,9024826	0,9642325	0,7195252	0,7459068	0,0589333	0,8933089	0,6968572	0,7793144	0,1408769	0,2450496	0,2032647	0,8176094	0,7712620	0,2862552	0,1571651	0,7379601	0,9413535	0,3953038	0,5228318	0,5281650
580	0,6710794	0,9099951	0,6209694	0,1310323	0,9276828	0,6210314	0,6400573	0,3933169	0,3955130	0,6803681	0,9770270	0,6013745	0,9029795	0,9016441	0,7210621	0,7388583	0,0589057	0,8942812	0,7316089	0,7799052	0,1362965	0,2405422	0,1926874	0,8180576	0,7621188	0,2851315	0,4673124	0,7384332	0,9416752	0,3961380	0,5228572	0,5333733
600	0,6276007	0,9753893	0,5836135	0,1335337	0,9566895	0,6210314	0,6400573	0,3906641	0,3955130	0,6832510	0,9782616	0,6040593	0,9050590	0,8612333	0,7270924	0,7205538	0,0588465	0,8978829	0,7550835	0,7824730	0,1239847	0,2265297	0,1631104	0,8198538	0,7332396	0,2821016	0,6300406	0,7402172	0,9428705	0,3996670	0,5229184	0,5489212
620	0,5829545	0,9932705	0,5459720	0,1364892	0,9693665	0,6210314	0,6400573	0,3871535	0,3955130	0,6870069	0,9795373	0,6086275	0,9082812	0,8355898	0,7356317	0,7033389	0,0588008	0,9026622	0,7715608	0,7862818	0,1128121	0,2105655	0,1335756	0,8224206	0,7025000	0,2787304	0,7154209	0,7425614	0,9444016	0,4048851	0,5229742	0,5658515
640	0,5445642	0,9981599	0,5205103	0,1391836	0,9751057	0,6210314	0,6400573	0,3838597	0,3955130	0,6904627	0,9806199	0,6142410	0,9118811	0,8195419	0,7443277	0,6908798	0,0587731	0,9072662	0,7832788	0,7903341	0,1061575	0,1968897	0,1110931	0,8250097	0,6804839	0,2753284	0,7602183	0,7447037	0,9457441	0,4105534	0,5230150	0,5797966
660	0,5124425	0,9994968	0,5068269	0,1414561	0,9778812	0,6210314	0,6400573	0,3812325	0,3955130	0,6931937	0,9814970	0,6200340	0,9153183	0,8096389	0,7519272	0,6828456	0,0587580	0,9111274	0,7916542	0,7940568	0,1036946	0,1864748	0,0957506	0,8272206	0,6682769	0,2718819	0,7837226	0,7463389	0,9467042	0,4159594	0,5230426	0,5900673
680	0,4854366	0,9998624	0,5008535	0,1433432	0,9793508	0,6210314	0,6400573	0,3793168	0,3955130	0,6952118	0,9821954	0,6253653	0,9183099	0,8036273	0,7580299	0,6780837	0,0587503	0,9141406	0,7976594	0,7972313	0,1039344	0,1790017	0,0859689	0,8289390	0,6631834	0,2683647	0,7960548	0,7474601	0,9472998	0,4207717	0,5230606	0,5972248
700	0,4624745	0,9999624	0,4989388	0,1449214	0,9802048	0,6210314	0,6400573	0,3779922	0,3955130	0,6966748	0,9827428	0,6298857	0,9207567	0,8000534	0,7626855	0,6755102	0,0587466	0,9163941	0,8019776	0,7998322	0,1053932	0,1738106	0,0801255	0,8302001	0,6621177	0,2647814	0,8025253	0,7481762	0,9476262	0,4248733	0,5230720	0,6020634
720	0,4427371	0,9999897	0,4987677	0,1462580	0,9807386	0,6210314	0,6400573	0,3771055	0,3955130	0,6977473	0,9831645	0,6334917	0,9226694	0,7979883	0,7661229	0,6743059	0,0587449	0,9180337	0,8050924	0,8019178	0,1070627	0,1702659	0,0769428	0,8310926	0,6628381	0,2611600	0,8059202	0,7486117	0,9477820	0,4282652	0,5230792	0,6052775
740	0,4256210	0,9999972	0,4991451	0,1474029	0,9810872	0,6210314	0,6400573	0,3765235	0,3955130	0,6985550	0,9834834	0,6362375	0,9241135	0,7968441	0,7686084	0,6739095	0,0587443	0,9192048	0,8073472	0,8035718	0,1084545	0,1678646	0,0755078	0,8317099	0,6640657	0,2575399	0,8077015	0,7488679	0,9478419	0,4310102	0,5230837	0,6073906
