"Time"	lldR	arcA	betI	xylR	gadX	torR	rutR	gadW	nemR	gadE	gadA	hdeB	yhiD	hdeA	gadC	cadA	cadB	gadB	mdtE	mdtF	betB	betT	lldD	gadY	betA	lldP	nemA	slp	dctR	hdeD	rutD	rutA
260	0,7110929	0,5983977	0,7119576	0,1216237	0,8146028	0,6546103	0,6304242	0,3562378	0,4225919	0,7051279	0,9867197	0,6065284	0,8486839	0,9056220	0,7281857	0,7906003	0,0505303	0,9029356	0,7426211	0,8275970	0,1867088	0,3101862	0,2518697	0,8193781	0,8195090	0,2454988	0,1693536	0,7492880	0,9769905	0,4783836	0,5137511	0,5222120
280	0,6596482	0,6256512	0,6960763	0,1265044	0,8467013	0,6612462	0,6380799	0,3574360	0,4207776	0,6694711	0,9941556	0,6484520	0,8429322	0,9928459	0,7039103	0,8265263	0,0498731	0,8920513	0,6544650	0,7504843	0,1592697	0,3001313	0,2364781	0,7685344	0,8255399	0,2394215	0,1682895	0,7075626	0,9950464	0,4473266	0,5833296	0,5480450
300	0,7045740	0,6402750	0,6726459	0,1227922	0,8834174	0,6238074	0,6918325	0,4052344	0,4096054	0,6613656	0,9189393	0,6278017	0,8823997	0,9878181	0,7123208	0,8269154	0,0448616	0,8037324	0,6496943	0,7676933	0,1500820	0,2637013	0,2266214	0,8002923	0,8216091	0,2648962	0,2022864	0,6897133	0,9436271	0,4383217	0,5860760	0,5431322
320	0,7475395	0,6671084	0,5888945	0,1592847	0,8930990	0,5667613	0,6567479	0,4019836	0,3991715	0,6780744	0,9121861	0,5776572	0,8529242	1,0144940	0,7022290	0,7639508	0,0486948	0,8456765	0,6912586	0,7250896	0,1654708	0,2573506	0,2455096	0,7934704	0,8048386	0,3380161	0,1643181	0,7066456	0,9179081	0,5043632	0,5353565	0,5674813
340	0,7293808	0,6455967	0,5775361	0,1544025	0,9173057	0,5834785	0,6627216	0,4322700	0,3589786	0,7344129	0,9060639	0,5963743	0,8748015	1,0248367	0,6912059	0,7213018	0,0486899	0,9559136	0,6949272	0,7870220	0,1410104	0,2831671	0,2576622	0,8214858	0,7205120	0,3240836	0,1488893	0,6630397	0,9664052	0,4577183	0,5331865	0,5619184
360	0,6897565	0,6748357	0,6010302	0,1740680	0,8768789	0,5718990	0,6447392	0,4261267	0,3824115	0,7959658	0,9629908	0,5912378	0,8925789	1,0232667	0,7053903	0,7340604	0,0583078	0,9425151	0,6882005	0,7939948	0,1611466	0,2612269	0,2594971	0,8246467	0,7774872	0,3152104	0,1259986	0,7064400	0,9897564	0,4073939	0,5489041	0,5348926
380	0,7156386	0,6274914	0,6452059	0,1760597	0,8043022	0,5672029	0,6316423	0,3670372	0,4172502	0,7726352	0,9832009	0,5791423	0,8254362	0,9388838	0,6895648	0,7916414	0,0486395	0,9188933	0,6536072	0,8246817	0,1237669	0,2484670	0,2426562	0,7968642	0,7624284	0,3162860	0,1596981	0,6978304	0,9302424	0,4102903	0,5406042	0,5678134
400	0,6891788	0,6671220	0,6560257	0,1811529	0,8027965	0,5792886	0,6401290	0,4150160	0,4275787	0,7005709	0,8735500	0,6829210	0,8006958	0,9558504	0,6769839	0,7850097	0,0481479	0,8879357	0,6775884	0,8361851	0,1584074	0,2467830	0,2198867	0,7764589	0,7496745	0,3169536	0,1797294	0,6950632	0,9769278	0,4721136	0,5107059	0,5322297
420	0,7130307	0,6566612	0,6760791	0,1823446	0,8078697	0,6389431	0,6644507	0,4017853	0,4493397	0,7310829	1,0065054	0,6431343	0,8505695	0,9566320	0,6993796	0,8077084	0,0461233	0,8686484	0,6200228	0,8646878	0,1511655	0,2492751	0,2361264	0,7518927	0,7044908	0,3611763	0,1895576	0,7193686	0,9513116	0,4672947	0,5133191	0,5384816
440	0,6895045	0,6925998	0,6498044	0,1637734	0,7643353	0,5936091	0,6409985	0,3850285	0,4177059	0,6984786	0,9695253	0,4825921	0,8881238	0,9497158	0,7122892	0,8144399	0,0449677	0,7737414	0,6675891	0,8475371	0,1323575	0,2824862	0,1996651	0,7384616	0,6785891	0,3106924	0,1739543	0,6789239	0,8922559	0,4599244	0,5188170	0,5554633
