"Time"	ihfB	hipA	hipB	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcG	tdcF	tdcB	tdcD	tdcE	tdcC	lyxK	yiaN	yiaO	sgbH	sgbE	sgbU	yiaK	yiaL	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF
260	0,4075630	0,1463014	0,3335063	0,4229896	0,6241648	0,6011194	0,6021713	0,3661154	0,3144557	0,5669620	0,7830286	0,6714008	0,5749557	0,7127352	0,7190546	0,4792214	0,3408478	0,5914908	0,0479607	0,2220567	0,6668241	0,3091043	0,0121602	0,1730997	0,6324160	0,1021411	0,4705614	0,2075259	0,1203421	0,6676094	0,5435520	0,1216888
280	0,3908585	0,1347327	0,2310266	0,3560359	0,6700298	0,5459993	0,5552704	0,4929369	0,3376855	0,5050896	0,6920068	0,6459222	0,6074842	0,7298946	0,6404407	0,4145886	0,3778436	0,4701463	0,0257650	0,1834410	0,4874251	0,3084616	0,0169062	0,1257414	0,5556277	0,1652933	0,5092244	0,2608699	0,1541219	0,8377076	0,6685795	0,1222588
300	0,3505752	0,1596800	0,3637560	0,4278234	0,6516245	0,6727544	0,5932517	0,4780938	0,3886435	0,5273730	0,7664755	0,5932882	0,5812942	0,6226429	0,6367206	0,4400824	0,2599850	0,4575683	0,0434112	0,1741460	0,5270195	0,4158539	0,0237696	0,0946963	0,5231530	0,1305212	0,5263526	0,2196969	0,1695988	0,6536665	0,6597145	0,0808498
320	0,3188984	0,1306749	0,2893171	0,5516750	0,6817964	0,6412393	0,6888394	0,4430168	0,3880260	0,5766499	0,8349823	0,6289004	0,5995472	0,7368528	0,7549822	0,5021706	0,3176280	0,4925286	0,0617109	0,2055559	0,4548487	0,3785497	0,0162395	0,1103605	0,4859878	0,1366929	0,5497622	0,1841064	0,1620099	0,5735890	0,5116584	0,0994091
340	0,3937448	0,1192911	0,3260999	0,5356841	0,6243337	0,6735798	0,5980968	0,5644485	0,4550740	0,5316362	0,7984241	0,6348728	0,5504011	0,6998120	0,5672444	0,3864218	0,2134170	0,4414009	0,0211949	0,1433651	0,5951404	0,3813631	0,0124547	0,0930989	0,5663892	0,1297934	0,5898610	0,2110957	0,1883065	0,5416267	0,6573987	0,0938268
360	0,3445508	0,1762095	0,3003670	0,5020374	0,5433136	0,5696702	0,7312000	0,3993067	0,4290151	0,5375901	0,7635034	0,5067032	0,6773786	0,6915383	0,6665316	0,4491129	0,2681590	0,4953674	0,0352416	0,2391131	0,5408956	0,4140307	0,0175919	0,0810508	0,4536466	0,0809592	0,5375733	0,1386901	0,1008168	0,6388808	0,5598443	0,0738840
380	0,3027866	0,1316122	0,3351344	0,6650938	0,5659896	0,5140079	0,5669965	0,4349297	0,4685184	0,5702677	0,8013584	0,4817652	0,7484645	0,7808809	0,6572436	0,4149270	0,3414242	0,5192167	0,0223286	0,1397049	0,4869512	0,4117662	0,0128204	0,0882969	0,4240784	0,1129787	0,5221714	0,1866811	0,1645299	0,8383059	0,5466003	0,1395922
400	0,3131513	0,1616079	0,3231755	0,5449208	0,5369386	0,6780658	0,6402428	0,3618864	0,4132541	0,5527247	0,7192649	0,5127740	0,6830690	0,6832891	0,7017609	0,3411658	0,1967733	0,4435679	0,0301571	0,1955884	0,4557218	0,3214699	0,0014719	0,1103784	0,4303928	0,1417136	0,6120493	0,2534768	0,1418956	0,6307265	0,6667666	0,1054006
420	0,3576751	0,1325770	0,3215668	0,3856483	0,6102653	0,6299911	0,6544359	0,5657033	0,4311845	0,5473476	0,8170301	0,6169186	0,6722402	0,6763423	0,6719397	0,3647276	0,2451380	0,4605111	0,0596571	0,3027654	0,5601315	0,3850789	0,0024089	0,1061896	0,4855754	0,0854444	0,4997101	0,2078227	0,1329513	0,6452369	0,5274258	0,1414440
440	0,4654951	0,1580712	0,3083420	0,4249894	0,5147706	0,6504108	0,7492239	0,4340701	0,4542611	0,4765449	0,7692090	0,5852709	0,5957314	0,6116789	0,6902031	0,4705236	0,2403621	0,4396789	0,0620965	0,1963963	0,5218980	0,3836668	0,0064704	0,1008119	0,5536637	0,1046067	0,5064332	0,2435195	0,1230104	0,7786980	0,6661981	0,0820035
460	0,3561793	0,1177984	0,4592900	0,4134422	0,4967724	0,7067929	0,6004369	0,3990484	0,4895714	0,6324718	0,6896958	0,5661675	0,6626416	0,7631241	0,6494739	0,5480240	0,3166012	0,3768910	0,0454815	0,2547894	0,4441216	0,3361950	0,0076985	0,0962080	0,3594926	0,2020149	0,4956226	0,2349082	0,1232769	0,6224418	0,6033625	0,1151585
480	0,5028705	0,1215991	0,3646265	0,5304517	0,5475898	0,6247007	0,5920435	0,4553039	0,4833209	0,6238175	0,7204685	0,7049800	0,6908911	0,7319869	0,6494592	0,4732514	0,2691463	0,4461266	0,0639184	0,1857882	0,3854278	0,3381468	0,0135062	0,0768941	0,3485422	0,1584923	0,4640430	0,1858808	0,1136240	0,7423136	0,5698258	0,0795522
500	0,3149825	0,1681366	0,4144400	0,5219068	0,6111731	0,7314091	0,5660405	0,4456533	0,3894809	0,4917816	0,6136086	0,6360275	0,5707371	0,8055679	0,6849167	0,4720326	0,2583998	0,4719703	0,0737845	0,2194214	0,4300996	0,3572156	0,0081650	0,1134992	0,3817692	0,1037658	0,5139006	0,2196893	0,0850661	0,7422247	0,5182232	0,1125958
520	0,3927209	0,1447918	0,3043173	0,5585259	0,7160914	0,5697262	0,5667230	0,4029166	0,4115001	0,4718774	0,9199543	0,7182091	0,6638451	0,7843309	0,6947424	0,4025930	0,2313318	0,3582776	0,0333556	0,2050296	0,5063183	0,4061086	0,0114528	0,1039734	0,4076018	0,0962004	0,5074128	0,1542453	0,0950525	0,7825331	0,6669995	0,0567393
540	0,2848041	0,1995499	0,2783015	0,6015772	0,6777297	0,7398994	0,5995469	0,3918429	0,3415711	0,4538192	0,7273353	0,6162466	0,7657387	0,7405761	0,6269786	0,3777321	0,2788561	0,5518949	0,0432336	0,1607377	0,3674996	0,3910854	0,0059434	0,1072836	0,4047158	0,1213258	0,6099499	0,1100447	0,0700500	0,8255542	0,6268819	0,1191968
560	0,2310933	0,1737599	0,3963297	0,3874029	0,5524338	0,5464825	0,5490770	0,4223598	0,4769156	0,5017574	0,7182665	0,4714180	0,5869752	0,7018075	0,6177991	0,4015110	0,3631386	0,4502849	0,0266278	0,1988405	0,4518296	0,3349468	0,0026559	0,0899788	0,4805148	0,1370029	0,4997452	0,1120959	0,1162234	0,6417385	0,6672779	0,0795372
580	0,2893033	0,0899289	0,3193454	0,4726548	0,4874313	0,6375982	0,5299374	0,3992090	0,4885962	0,4768550	0,8162463	0,6265647	0,5347901	0,8845804	0,6291085	0,4570149	0,2671113	0,5523104	0,0986677	0,2300382	0,5348382	0,2797942	0,0009639	0,1108897	0,4880509	0,1186363	0,5098324	0,1510280	0,0875921	0,8582528	0,6422899	0,2232965
600	0,3121735	0,1387127	0,2695626	0,4754686	0,4754858	0,5429473	0,5213228	0,4923904	0,4147462	0,4676512	0,7085077	0,6020654	0,5220110	0,8767319	0,5161739	0,3306267	0,2514260	0,3682075	0,1900479	0,2381223	0,4746148	0,3079241	0,0051503	0,1424138	0,4936992	0,1859547	0,5699292	0,1521184	0,0983424	0,8770982	0,5971995	0,3304151
620	0,3834175	0,0937938	0,3683107	0,3665068	0,5879971	0,5598652	0,5767408	0,3886358	0,4047629	0,5115397	0,5907661	0,6853712	0,6539130	0,7575098	0,5064837	0,4169651	0,2619516	0,2479643	0,4569837	0,2077902	0,4280206	0,2889049	0,0035504	0,1054935	0,5322105	0,1761002	0,5165836	0,2012429	0,0890167	0,6562555	0,6296836	0,6115458
640	0,3515713	0,0730830	0,3351609	0,4010762	0,4725263	0,6682631	0,5948040	0,5876856	0,3794132	0,4894765	0,5545314	0,4175131	0,5525231	0,7283371	0,7170948	0,3540070	0,2719841	0,2777990	0,5792925	0,2612911	0,3104013	0,3276525	0,0033516	0,1133293	0,4897451	0,2716497	0,4958789	0,2089741	0,0992725	0,6711292	0,7104639	0,5678859
