"Time"	argP	dnaA	phoB	recF	dnaN	nrdA	nrdR	fis	mtlR	marR	nrdB	guaB	mtlD	mtlA	guaA	marB	glyU	valX	phnK	lysV	glnV	phnP	phnH	leuV	pheU	psiF	topA	aspV	thrU	phnG	alaW	tyrU
260	0,0168074	0,5485152	0,0555688	0,0419797	0,3317321	0,5166748	1,0507258	0,5783814	0,2565293	0,3295901	0,3556892	0,6816171	0,1581205	0,5347512	0,6192602	0,5968755	0,2830934	0,3882458	0,8996018	0,0630927	1,0602692	0,0362579	0,0504445	0,8599379	0,8473313	0,0664200	0,9492248	0,8372280	0,9423609	0,7186206	0,9012003	0,3560098
280	0,0201853	0,5514177	0,0318887	0,0396890	0,3248232	0,5170286	1,0490060	0,6058056	0,2377044	0,3158485	0,3331103	0,6730892	0,1432219	0,5015066	0,6247619	0,6146586	0,2877267	0,3627462	0,9595031	0,0714544	1,0283028	0,0265325	0,0615976	0,8334866	0,9409080	0,0583708	0,9083665	0,8615300	0,9617985	0,7345989	1,0304429	0,3683869
300	0,0132932	0,5513884	0,0277976	0,0440256	0,3023751	0,4574601	1,0100788	0,6183342	0,2929634	0,3806380	0,2941051	0,7276935	0,1576342	0,5914432	0,6771300	0,6023946	0,2843550	0,4029248	0,9945481	0,0919880	0,9743999	0,0435896	0,0681559	0,7751643	0,9380178	0,0608079	0,9481082	0,8434221	0,9025044	0,7298181	0,9746496	0,4008018
320	0,0093175	0,6620396	0,0146191	0,0450642	0,2705332	0,5148922	1,0401865	0,6473392	0,3203288	0,3731558	0,3210348	0,7398106	0,1535700	0,6312928	0,6320498	0,5941639	0,3163957	0,3765600	1,0386430	0,0933158	1,0398835	0,0236576	0,0695094	0,8308892	0,9703469	0,0516781	1,0179026	0,8276110	0,9862175	0,7561193	1,0460152	0,3924801
340	0,0181693	0,6383667	0,0191527	0,0390594	0,2927247	0,6065975	1,0368528	0,6761991	0,3077518	0,4073440	0,3686941	0,7381476	0,1296630	0,5789370	0,5720666	0,6021321	0,3208925	0,3972391	0,9904935	0,0939334	1,0536422	0,0179542	0,0727532	0,9313802	1,0156540	0,0364308	0,9965615	0,9001341	1,0638958	0,8267045	1,0100648	0,4276216
360	0,0135596	0,5598920	0,0288786	0,0367158	0,2838435	0,6310473	1,0270846	0,6425526	0,3189085	0,4371857	0,3368738	0,7941673	0,1333578	0,5855292	0,5432213	0,5556699	0,2914578	0,3807828	1,0369497	0,1038483	1,0350363	0,0286660	0,0800322	0,8926275	0,9473785	0,0351674	0,9945269	0,9275517	1,0882121	0,8394502	0,9710773	0,4317461
380	0,0171379	0,5007920	0,0323279	0,0357452	0,2866955	0,6253693	1,0419795	0,5932991	0,3398681	0,4588526	0,3329243	0,7806809	0,1185734	0,5485856	0,5187334	0,6130010	0,3317436	0,3935523	0,9914914	0,1267469	1,0247707	0,0326883	0,0836201	0,9485956	0,9429198	0,0515627	0,9670021	0,9262593	1,0253559	0,8211666	1,0008317	0,4623226
400	0,0098587	0,6338830	0,0500528	0,0402957	0,2676775	0,6073956	0,9919489	0,5719536	0,3539565	0,4104240	0,3270179	0,7592038	0,1358900	0,5889194	0,4959075	0,6096491	0,3038861	0,4116515	0,9453826	0,1167345	1,0226465	0,0306362	0,0596806	0,8557226	0,9564482	0,0489255	1,0320156	0,9412413	1,0471995	0,8274501	0,9951496	0,4779428
420	0,0115473	0,6260795	0,0540457	0,0423512	0,2527982	0,5970983	1,0473237	0,5559613	0,3363534	0,3830529	0,3431408	0,7514566	0,1489022	0,6050666	0,5029388	0,5960314	0,2890669	0,3842809	0,9108238	0,0929639	1,0487804	0,0397797	0,0547029	0,8868211	1,0303493	0,0541118	0,9432904	0,9052652	1,0298107	0,8087482	1,0946779	0,4565806
440	0,0164070	0,6145251	0,0507440	0,0481373	0,2633225	0,5737545	1,0210375	0,5913629	0,2968964	0,4014919	0,3526019	0,7567478	0,1510301	0,5699161	0,5692271	0,5276485	0,2999006	0,3516495	0,8997114	0,0885668	1,0457670	0,0398482	0,0450718	1,0172155	1,0500616	0,0562393	0,9693029	0,8094438	1,0402756	0,8546389	1,0717143	0,4383256
