"Time"	melR	crp	rhaR	rhaS	feaR	malI	zraR	mtlR	rbsR	prpR	rbsK	rhaB	malY	rbsB	prpB	prpE	rhaA	melA	prpD	rbsD	malX	rbsA	melB	zraS	rhaD	prpC	rbsC	rhaT	mtlD	mtlA	ychH	agp
300	0,5556345	0,9772332	0,7772052	0,9989665	1,0102029	0,2506135	0,9488341	0,6078537	0,9888874	1,0296504	0,0656933	0,9544739	0,3128445	0,6527121	0,9024025	0,9713519	0,3574107	0,8254210	0,8598514	0,2736750	0,4204604	0,4616935	0,4981330	1,0120953	0,7654475	1,0442428	0,4337155	0,9485553	0,9078717	0,8444822	1,0408042	0,5803346
320	0,6335778	0,9460105	0,7204764	0,9947466	0,9213054	0,2546225	0,8702722	0,6192876	0,9822315	1,0522474	0,0618052	0,9225636	0,2623917	0,6456082	0,8617862	0,9702525	0,3593098	0,8229492	0,8851949	0,2720697	0,4032283	0,4769644	0,5066729	1,0416994	0,6957936	0,9696735	0,4495639	0,9673008	0,9076913	0,7883347	1,0277823	0,5546890
340	0,5684031	1,0155496	0,7303187	0,9970571	0,9391539	0,2841491	0,8479441	0,6446496	0,9572068	0,9729566	0,0759535	0,8916737	0,2610910	0,6558284	0,9190899	0,9856888	0,3462917	0,8520343	0,8760749	0,2856927	0,3841412	0,4355641	0,4712591	1,0836889	0,7996948	0,9280735	0,4855314	0,9537926	0,9004190	0,8371631	0,9356519	0,5676416
360	0,5942113	0,9982475	0,7591115	0,9729275	0,9982381	0,2414059	0,8652894	0,6602353	1,0324752	0,9186942	0,0769949	0,9406009	0,2552461	0,6717415	0,9617576	0,9451602	0,3691920	0,8890524	0,9055383	0,2663370	0,3955152	0,4402193	0,4960963	1,0407571	0,7914155	0,9408823	0,4209097	0,8931576	0,9162045	0,8195277	0,9454395	0,5377577
380	0,6471948	0,9561530	0,7520455	1,0237098	1,0063999	0,2279441	0,7954873	0,7090950	1,0181906	0,9829571	0,0831398	0,9414543	0,2655344	0,6084917	1,0149692	0,8585371	0,4007147	0,8777890	0,9589103	0,2991222	0,3715459	0,3981299	0,5118835	1,0733716	0,8117324	0,8742264	0,4485044	0,9549958	0,9426519	0,8344469	0,9905349	0,5890526
400	0,6322640	0,9709580	0,7711496	0,9990245	0,9187363	0,2354751	0,8068589	0,6947309	1,0386297	1,0207511	0,0873815	0,9224519	0,2690053	0,6131127	0,9827898	0,9240656	0,3990954	0,9868516	0,9693463	0,2883730	0,3550208	0,4581962	0,5487723	1,0623085	0,8212600	0,8977370	0,4634515	1,0494115	0,9997354	0,9176838	0,9214166	0,5460380
420	0,6483997	0,9608389	0,7644428	0,9342055	0,9520333	0,2712848	0,8626325	0,7384481	0,9635631	0,9800612	0,0891958	0,9122878	0,2734924	0,6612136	0,9813491	0,9035560	0,3798059	0,9143951	0,9655554	0,3029766	0,3992162	0,4709575	0,5294453	1,0446431	0,7921386	0,9555336	0,5003865	1,0750719	0,9393418	0,9029140	0,8943911	0,5080287
440	0,6320256	0,9226771	0,7881401	0,9381734	0,9103539	0,2786166	0,8179170	0,7064017	0,9647491	0,9420063	0,0736340	0,9338550	0,3051915	0,6936582	0,9323351	0,9274641	0,3615882	0,8878838	0,9671846	0,3114597	0,3918643	0,4860041	0,5335705	0,9700197	0,8269023	0,9588262	0,5705311	1,0227869	0,8777518	0,8551320	0,9517982	0,5217627
460	0,6561919	0,8875239	0,7647611	0,9339503	0,9268006	0,2964799	0,8634241	0,6852714	0,9622303	0,9829578	0,0957727	0,9991345	0,2990440	0,7656060	0,9196431	0,9662711	0,3413536	0,8335104	0,9382708	0,3488673	0,3354306	0,4520766	0,5323053	0,9160041	0,8837611	0,9910772	0,5290438	1,0846138	0,8774172	0,8807693	1,0499240	0,5419507
480	0,6669070	0,9421895	0,7573088	0,9254179	0,9509346	0,2966886	0,9352867	0,7083817	0,9595811	0,9959600	0,0885939	0,9144343	0,2982106	0,7186081	0,8981969	0,9802640	0,3642919	0,8405134	0,9495631	0,3510362	0,3364983	0,4467549	0,5832419	0,9276524	0,8652086	0,9823022	0,5226385	1,0889365	0,9335048	0,8702479	1,0341405	0,5966566
