"Time"	araC	crp	rhaR	rhaS	melR	malI	feaR	zraR	mtlR	rbsR	rbsD	rbsA	araA	rhaA	araB	zraS	araG	rbsB	melA	rbsK	melB	araF	rbsC	rhaB	rhaD	araJ	araD	araE	malX	araH	malY	xylA
300	0,5511139	0,7045223	0,0598045	0,0957305	0,6572454	0,9990686	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107884	0,2375835	0,4777245	0,6533793	0,7620217	0,8887999	0,8663731	0,4055449	0,9999837	0,9743005	0,4329302	0,9671300	0,4789350	0,0764878	0,8672196	0,9479951	0,7531929	0,2006487	0,6122735	0,8652150	0,1250632
320	0,5511139	0,7045223	0,0598047	0,0957387	0,6572454	0,9990686	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107884	0,2375835	0,4777646	0,6534408	0,7622025	0,8891238	0,8665011	0,4055449	0,9999837	0,9743005	0,4329302	0,9671300	0,4789352	0,0764948	0,8674678	0,9479951	0,7533039	0,2006487	0,6124714	0,8652150	0,1248796
340	0,5511139	0,7045223	0,0598049	0,0957457	0,6572454	0,9990686	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107884	0,2375835	0,4777991	0,6534815	0,7623112	0,8893242	0,8665918	0,4055449	0,9999837	0,9743005	0,4329303	0,9671300	0,4789353	0,0765009	0,8676178	0,9479951	0,7533719	0,2006487	0,6125943	0,8652150	0,1247589
360	0,5511139	0,7045223	0,0598051	0,0957518	0,6572454	0,9990686	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107884	0,2375835	0,4778289	0,6535083	0,7623764	0,8894478	0,8666559	0,4055448	0,9999837	0,9743005	0,4329303	0,9671299	0,4789354	0,0765062	0,8677083	0,9479951	0,7534133	0,2006487	0,6126703	0,8652150	0,1246800
380	0,5511139	0,7045223	0,0598053	0,0957571	0,6572454	0,9990686	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107884	0,2375835	0,4778545	0,6535260	0,7624154	0,8895238	0,8667013	0,4055448	0,9999837	0,9743005	0,4329303	0,9671299	0,4789355	0,0765107	0,8677629	0,9479951	0,7534385	0,2006487	0,6127172	0,8652150	0,1246284
400	0,5511139	0,7045223	0,0598054	0,0957616	0,6572454	0,9990686	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107884	0,2375835	0,4778766	0,6535375	0,7624387	0,8895705	0,8667334	0,4055448	0,9999837	0,9743005	0,4329303	0,9671299	0,4789356	0,0765146	0,8677959	0,9479951	0,7534538	0,2006487	0,6127461	0,8652150	0,1245949
420	0,5511139	0,7045223	0,0598055	0,0957655	0,6572454	0,9990686	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107884	0,2375835	0,4778957	0,6535451	0,7624525	0,8895992	0,8667560	0,4055448	0,9999837	0,9743005	0,4329303	0,9671299	0,4789357	0,0765180	0,8678157	0,9479951	0,7534631	0,2006487	0,6127638	0,8652150	0,1245731
440	0,5511139	0,7045223	0,0598056	0,0957689	0,6572454	0,9990685	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107884	0,2375835	0,4779121	0,6535500	0,7624607	0,8896167	0,8667721	0,4055448	0,9999837	0,9743005	0,4329303	0,9671299	0,4789358	0,0765209	0,8678277	0,9479951	0,7534687	0,2006487	0,6127747	0,8652150	0,1245590
460	0,5511139	0,7045223	0,0598057	0,0957718	0,6572454	0,9990685	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107884	0,2375835	0,4779263	0,6535533	0,7624656	0,8896274	0,8667834	0,4055448	0,9999837	0,9743005	0,4329303	0,9671299	0,4789358	0,0765234	0,8678349	0,9479951	0,7534721	0,2006487	0,6127813	0,8652150	0,1245498
480	0,5511139	0,7045223	0,0598057	0,0957743	0,6572454	0,9990685	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107884	0,2375835	0,4779385	0,6535554	0,7624685	0,8896339	0,8667914	0,4055448	0,9999837	0,9743005	0,4329303	0,9671299	0,4789359	0,0765256	0,8678392	0,9479951	0,7534741	0,2006487	0,6127853	0,8652150	0,1245440
500	0,5511139	0,7045223	0,0598058	0,0957764	0,6572454	0,9990685	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107884	0,2375835	0,4779491	0,6535567	0,7624703	0,8896379	0,8667970	0,4055448	0,9999837	0,9743005	0,4329303	0,9671299	0,4789359	0,0765275	0,8678418	0,9479951	0,7534753	0,2006487	0,6127878	0,8652150	0,1245402
520	0,5511139	0,7045223	0,0598059	0,0957783	0,6572454	0,9990685	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107884	0,2375835	0,4779582	0,6535576	0,7624713	0,8896403	0,8668010	0,4055448	0,9999837	0,9743005	0,4329303	0,9671299	0,4789359	0,0765291	0,8678434	0,9479951	0,7534761	0,2006487	0,6127893	0,8652150	0,1245377
540	0,5511139	0,7045223	0,0598059	0,0957799	0,6572454	0,9990685	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107884	0,2375835	0,4779660	0,6535582	0,7624719	0,8896418	0,8668038	0,4055448	0,9999837	0,9743005	0,4329303	0,9671299	0,4789360	0,0765305	0,8678443	0,9479951	0,7534765	0,2006487	0,6127902	0,8652150	0,1245362
560	0,5511139	0,7045223	0,0598059	0,0957813	0,6572454	0,9990685	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107884	0,2375835	0,4779727	0,6535586	0,7624722	0,8896427	0,8668058	0,4055448	0,9999837	0,9743005	0,4329303	0,9671299	0,4789360	0,0765317	0,8678449	0,9479951	0,7534768	0,2006487	0,6127908	0,8652150	0,1245352
580	0,5511139	0,7045223	0,0598060	0,0957825	0,6572454	0,9990685	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107884	0,2375835	0,4779786	0,6510582	0,7313908	0,8527803	0,8638071	0,4055448	0,9999837	0,9743005	0,4329303	0,9671299	0,4789360	0,0765327	0,8118972	0,9479951	0,7396202	0,2006487	0,5931619	0,8652150	0,1322913
600	0,5511139	0,7045223	0,0598060	0,0957835	0,6572454	0,9990685	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107884	0,2375835	0,4779836	0,6461739	0,6757303	0,7851729	0,8579500	0,4055448	0,9999837	0,9743005	0,4329303	0,9671299	0,4789360	0,0765336	0,7155942	0,9479951	0,7142583	0,2006487	0,5567030	0,8652150	0,1474546
620	0,5511139	0,7045223	0,0598060	0,0957844	0,6572454	0,9990685	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107884	0,2375835	0,4779879	0,6411084	0,6233186	0,7197883	0,8518427	0,4055448	0,9999837	0,9743005	0,4329303	0,9671299	0,4789361	0,0765343	0,6284871	0,9479951	0,6897985	0,2006487	0,5209661	0,8652150	0,1631884
640	0,5511139	0,7045223	0,0598061	0,0957852	0,6572454	0,9990685	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107884	0,2375835	0,4779917	0,6367202	0,5821389	0,6670016	0,8464909	0,4055448	0,9999837	0,9743005	0,4329303	0,9671299	0,4789361	0,0765350	0,5624993	0,9479951	0,6701184	0,2006487	0,4917411	0,8652150	0,1768178
660	0,5511139	0,7045223	0,0598061	0,0957859	0,6572454	0,9990685	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107884	0,2375835	0,4779949	0,6332341	0,5524718	0,6279179	0,8421639	0,4055448	0,9999837	0,9743005	0,4329303	0,9671299	0,4789361	0,0765356	0,5164749	0,9479951	0,6556051	0,2006487	0,4698377	0,8652150	0,1876397
680	0,5511139	0,7045223	0,0598061	0,0957864	0,6572454	0,9990685	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107884	0,2375835	0,4779977	0,6306021	0,5321582	0,6004104	0,8388197	0,4055448	0,9999837	0,9743005	0,4329303	0,9671299	0,4789361	0,0765361	0,4858403	0,9479951	0,6454370	0,2006487	0,4542444	0,8652150	0,1958015
700	0,5511139	0,7045223	0,0598061	0,0957869	0,6572454	0,9990685	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107884	0,2375835	0,4780001	0,6286804	0,5187042	0,5816821	0,8363059	0,4055448	0,9999837	0,9743005	0,4329303	0,9671299	0,4789361	0,0765365	0,4660383	0,9479951	0,6385496	0,2006487	0,4435136	0,8652150	0,2017517
720	0,5511139	0,7045223	0,0598061	0,0957873	0,6572454	0,9990685	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107884	0,2375835	0,4780022	0,6273099	0,5099995	0,5692245	0,8344506	0,4055448	0,9999837	0,9743005	0,4329303	0,9671299	0,4789361	0,0765369	0,4534862	0,9479951	0,6339943	0,2006487	0,4363041	0,8652150	0,2059862
740	0,5511139	0,7045223	0,0598061	0,0957877	0,6572454	0,9990685	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107884	0,2375835	0,4780039	0,6263495	0,5044638	0,5610789	0,8330981	0,4055448	0,9999837	0,9743005	0,4329303	0,9671299	0,4789361	0,0765372	0,4456370	0,9479951	0,6310344	0,2006487	0,4315463	0,8652150	0,2089460
760	0,5511139	0,7045223	0,0598061	0,0957880	0,6572454	0,9990685	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107884	0,2375835	0,4780055	0,6256854	0,5009895	0,5558221	0,8321208	0,4055448	0,9999837	0,9743005	0,4329303	0,9671299	0,4789361	0,0765375	0,4407762	0,9479951	0,6291372	0,2006487	0,4284496	0,8652150	0,2109863
780	0,5511139	0,7045223	0,0598061	0,0957883	0,6572454	0,9990685	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107884	0,2375835	0,4780068	0,6252310	0,4988314	0,5524642	0,8314189	0,4055448	0,9999837	0,9743005	0,4329303	0,9671299	0,4789361	0,0765377	0,4377873	0,9479951	0,6279342	0,2006487	0,4264559	0,8652150	0,2123772
800	0,5511139	0,7045223	0,0598062	0,0957885	0,6572454	0,9990685	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107884	0,2375835	0,4780080	0,6249228	0,4975019	0,5503368	0,8309170	0,4055448	0,9999837	0,9743005	0,4329303	0,9671299	0,4789361	0,0765379	0,4359590	0,9479951	0,6271780	0,2006487	0,4251839	0,8652150	0,2133169
820	0,5511139	0,7045223	0,0598062	0,0957887	0,6572454	0,9990685	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107884	0,2375835	0,4780090	0,6247152	0,4966884	0,5489980	0,8305594	0,4055448	0,9999837	0,9743005	0,4329303	0,9671299	0,4789361	0,0765381	0,4348450	0,9479951	0,6267061	0,2006487	0,4243782	0,8652150	0,2139470
840	0,5511139	0,7045223	0,0598062	0,0957889	0,6572454	0,9990685	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107884	0,2375835	0,4780098	0,6245762	0,4961935	0,5481600	0,8303051	0,4055448	0,9999837	0,9743005	0,4329303	0,9671299	0,4789361	0,0765382	0,4341683	0,9479951	0,6264134	0,2006487	0,4238710	0,8652150	0,2143669
860	0,5511139	0,7045223	0,0598062	0,0957891	0,6572454	0,9990685	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107884	0,2375835	0,4780105	0,6244835	0,4958937	0,5476380	0,8301246	0,4055448	0,9999837	0,9743005	0,4329303	0,9671299	0,4789361	0,0765384	0,4337581	0,9479951	0,6262328	0,2006487	0,4235535	0,8652150	0,2146452
880	0,5511139	0,7045223	0,0598062	0,0957892	0,6572454	0,9990685	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107884	0,2375835	0,4780112	0,6244220	0,4957128	0,5473141	0,8299967	0,4055448	0,9999837	0,9743005	0,4329303	0,9671299	0,4789361	0,0765385	0,4335099	0,9479951	0,6261218	0,2006487	0,4233556	0,8652150	0,2148288
900	0,5511139	0,7045223	0,0598062	0,0957893	0,6572454	0,9990685	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107884	0,2375835	0,4780117	0,6243813	0,4956041	0,5471137	0,8299061	0,4055448	0,9999837	0,9743005	0,4329303	0,9671299	0,4789362	0,0765386	0,4333600	0,9479951	0,6260538	0,2006487	0,4232327	0,8652150	0,2149494
920	0,5511139	0,7045223	0,0598062	0,0957894	0,6572454	0,9990685	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107884	0,2375835	0,4780122	0,6243545	0,4955389	0,5469901	0,8298420	0,4055448	0,9999837	0,9743005	0,4329303	0,9671299	0,4789362	0,0765387	0,4332694	0,9479951	0,6260123	0,2006487	0,4231566	0,8652150	0,2150284
