"Time"	baeR	cpxR	csgD	rstA	ompR	bolA	rcsB	rcsA	flhC	hdfR	csgF	csgE	csgG	sra	ompF	mdtA	wcaB	mdtD	mdtB	baeS	csgB	wzc	wcaA	spy	wza	csgA	bdm	csgC	mdtC	wzb	rprA	osmB
260	0,0328251	0,0247923	0,4899933	0,8813990	0,8105984	0,0013458	0,6891417	0,0611258	0,1849808	0,7925582	0,5016696	0,7083548	0,5873827	0,6465929	0,5641674	0,0195969	0,0557311	0,6385052	0,0747721	0,0076053	0,5212401	0,8535571	0,4005995	0,7384417	0,1024798	0,6835116	0,4746422	0,5971153	0,0308966	0,4511437	0,0753791	0,0016808
280	0,0379602	0,0298066	0,6214037	0,7631789	0,7612505	0,0051178	0,6993977	0,0206378	0,3121459	0,6711672	0,6325859	0,6597949	0,5501514	0,6879133	0,5200285	0,0425797	0,0593648	0,6304244	0,0769366	0,0135701	0,4761231	0,8659099	0,3484538	0,6047065	0,1179204	0,7219507	0,4808761	0,7979565	0,0082124	0,3846773	0,0560446	0,0074609
300	0,0251790	0,0158299	0,6948565	0,6899045	0,6954592	0,0089728	0,7666657	0,0234880	0,2372511	0,7683632	0,6389435	0,6469046	0,7505978	0,4742043	0,6508845	0,0274895	0,0333330	0,6833506	0,0615009	0,0074548	0,6096383	0,6872007	0,4086850	0,6365153	0,1529973	0,6564181	0,4314551	0,6255081	0,0137718	0,3202073	0,1120501	0,0025669
320	0,0854728	0,0252534	0,5914504	0,6394039	0,7121511	0,0095568	0,6515945	0,0456318	0,2210430	0,8406827	0,8777982	0,6699910	0,6376896	0,5547323	0,5537835	0,0194346	0,0681457	0,7185465	0,0485790	0,0139940	0,5311586	0,6723890	0,3813802	0,6699284	0,1368343	0,6633211	0,3539157	0,7204053	0,0127404	0,4634065	0,0492213	0,0030419
340	0,0719260	0,0294695	0,6635383	0,7306184	0,6851521	0,0018867	0,7890905	0,0503605	0,2915590	0,7148176	0,5915380	0,6492803	0,6878898	0,6260499	0,5172115	0,0082806	0,0214620	0,7468190	0,0686129	0,0098384	0,7213223	0,7087248	0,4198737	0,6257529	0,1233500	0,7092935	0,4228733	0,7198912	0,0189025	0,3751932	0,0534490	0,0073994
360	0,0747047	0,0268835	0,5724455	0,6427681	0,6204350	0,0012499	0,7261956	0,0448664	0,2743381	0,7926487	0,7006071	0,6814556	0,6248448	0,6024528	0,5238145	0,0248299	0,0797330	0,6814235	0,0809293	0,0044842	0,6924850	0,5497252	0,4157433	0,5144068	0,1415048	0,8253858	0,4320042	0,7707575	0,0065471	0,3799528	0,0652057	0,0179779
380	0,0550646	0,0275817	0,4232791	0,6549745	0,6882036	0,0011689	0,7920947	0,0351109	0,2246777	0,7702669	0,6355770	0,6694201	0,6399694	0,6136274	0,5400092	0,0196968	0,0833046	0,8101734	0,0558540	0,0065292	0,5940768	0,8229023	0,3696452	0,6454230	0,1105289	0,7375513	0,4340524	0,6171150	0,0122178	0,4241603	0,0433721	0,0059258
400	0,0958718	0,0181614	0,3878099	0,7609481	0,8691599	0,0044457	0,8087391	0,0247876	0,2584016	0,7128873	0,6167920	0,7491885	0,7085931	0,6751753	0,5693008	0,0399550	0,0532183	0,7926676	0,0683593	0,0068293	0,5396582	0,6232574	0,4333290	0,6309485	0,1006416	0,6018507	0,4766782	0,6257506	0,0144049	0,4821061	0,0715709	0,0205220
420	0,0603642	0,0376365	0,5555394	0,6563039	0,7086608	0,0078244	0,6382836	0,0125102	0,2088079	0,8436312	0,5685370	0,6752253	0,7317810	0,5144680	0,6096906	0,0459850	0,0657916	0,7721978	0,0529629	0,0100639	0,5541225	0,6307031	0,3822957	0,6399303	0,0866084	0,6533974	0,3437005	0,7343651	0,0065173	0,3751602	0,0642505	0,0043900
440	0,0469230	0,0231253	0,5833316	0,6211913	0,6937077	0,0032326	0,7800134	0,0170853	0,2285653	0,6680216	0,5860152	0,7516032	0,5971348	0,4897119	0,5995909	0,0330632	0,0571490	0,7593551	0,0904913	0,0071780	0,6597512	0,7569652	0,3801057	0,5377409	0,1088531	0,6577373	0,4109890	0,7078996	0,0294668	0,3848158	0,0861770	0,0016083
