"Time"	argP	dnaA	phoB	recF	dnaN	nrdA	nrdR	fis	mtlR	marR	nrdB	guaB	mtlD	mtlA	guaA	marB	glyU	valX	phnK	lysV	glnV	phnP	phnH	leuV	pheU	psiF	topA	aspV	thrU	phnG	alaW	tyrU
260	0,0123467	0,3943491	0,0426342	0,0230738	0,1922743	0,3936326	0,6078005	0,4459744	0,1994239	0,2643885	0,2136388	0,4557793	0,1162099	0,4285364	0,4104226	0,3465132	0,2027952	0,2325648	0,6360013	0,0639455	0,7302950	0,0106416	0,0327377	0,6292189	0,5986573	0,0275392	0,7274626	0,5783765	0,6950180	0,5337585	0,7707489	0,2848449
280	0,0075955	0,5270697	0,0134447	0,0184954	0,2009644	0,3733730	0,7258333	0,3978201	0,2314234	0,2924886	0,2562615	0,5058265	0,1239682	0,4305702	0,5344032	0,4051034	0,2016374	0,2292733	0,7115017	0,0446925	0,6848816	0,0210514	0,0806574	0,5959765	0,6542414	0,0263297	0,6240878	0,5905515	0,7163025	0,4658096	0,6959453	0,2755656
300	0,0163204	0,4709883	0,0249961	0,0270271	0,2066873	0,4170577	0,7967752	0,4185005	0,2644082	0,2736965	0,3093224	0,5295984	0,1716242	0,4089480	0,4541694	0,4268168	0,2295367	0,2376190	0,7991083	0,0378552	0,7827735	0,0229470	0,0535786	0,6674361	0,7122357	0,0279504	0,6590862	0,7463870	0,7301231	0,5156329	0,8031687	0,2373548
320	0,0071544	0,4194336	0,0294551	0,0186158	0,2174680	0,4431044	0,7156481	0,4542184	0,2403873	0,2712919	0,2505274	0,5436256	0,1109189	0,4509843	0,3040058	0,3910819	0,1683878	0,2023409	0,7390372	0,0545688	0,5953257	0,0229651	0,0549909	0,5782459	0,7782310	0,0419286	0,6642829	0,5235194	0,7675536	0,5819411	0,7401997	0,2148528
340	0,0101973	0,4136409	0,0173011	0,0290538	0,2086832	0,5053485	0,7241479	0,4686633	0,1931707	0,3148182	0,2453573	0,4480037	0,0948457	0,3968451	0,4141377	0,5158457	0,2774455	0,3101885	0,5476442	0,0800768	0,7269331	0,0279266	0,0427940	0,5878570	0,6650639	0,0585768	0,7761509	0,5752820	0,7117675	0,4986255	0,6601866	0,4125670
360	0,0123245	0,4760122	0,0171676	0,0332586	0,1962014	0,4802716	0,7116796	0,4277500	0,1995858	0,3988747	0,1959611	0,5525825	0,0601656	0,5308528	0,3077142	0,4631437	0,2411768	0,2147717	0,6347425	0,0658975	0,7197013	0,0139810	0,0468041	0,6213407	0,8001507	0,0341671	0,7218287	0,5961492	0,6542651	0,5668016	0,7592696	0,3077585
380	0,0043498	0,4213124	0,0139393	0,0163073	0,1648649	0,4272230	0,6524969	0,4237665	0,1910312	0,2865897	0,2681307	0,5278863	0,0921201	0,3565608	0,3444536	0,4265277	0,2740315	0,3248472	0,6600814	0,1051237	0,7393074	0,0363606	0,0417756	0,5054450	0,7325812	0,0255330	0,8026806	0,6241336	0,6979558	0,5373160	0,8102578	0,3212899
400	0,0099257	0,4979828	0,0189213	0,0297542	0,1845170	0,4427952	0,7512181	0,4135917	0,2704502	0,2334802	0,2504752	0,6604023	0,0638418	0,4811720	0,4146533	0,3820475	0,2989383	0,2506279	0,7002559	0,0790138	0,6785625	0,0310883	0,0252796	0,7402781	0,7740640	0,0523704	0,6358356	0,6434477	0,7376155	0,5602031	0,5963476	0,3026329
420	0,0115057	0,3492703	0,0270957	0,0644371	0,2227211	0,4721270	0,6928252	0,3287682	0,1932296	0,2643437	0,2481721	0,4574941	0,1376187	0,4623532	0,4491175	0,4478713	0,1874843	0,2255376	0,7477216	0,0668330	0,9355450	0,0185299	0,0498924	0,6422380	0,6920449	0,0479437	0,6729200	0,5399624	0,7874013	0,5429400	0,6886928	0,2996401
440	0,0256225	0,4066030	0,0398499	0,0174027	0,1805978	0,3950265	0,6649382	0,4892655	0,1496321	0,2706414	0,2656886	0,5529264	0,1218744	0,4057486	0,4941837	0,3922904	0,1654857	0,2252905	0,7215074	0,0457431	0,8141235	0,0205088	0,0172197	0,7088274	0,7300567	0,0869767	0,6186610	0,6017881	0,7999394	0,6423901	0,7417252	0,2697833
460	0,0059197	0,4267002	0,0725355	0,0442516	0,1482891	0,4706769	0,7663726	0,3973600	0,1587151	0,2355654	0,2221450	0,5305035	0,1304364	0,4018700	0,4447206	0,5110282	0,2618631	0,1879677	0,8578252	0,0864561	0,9062165	0,0247036	0,0559331	0,6747057	0,6559510	0,0455710	0,6386432	0,6095294	0,7143952	0,5287771	0,7991188	0,2616285
480	0,0070859	0,5268873	0,0304271	0,0164739	0,2658167	0,4497823	0,7678612	0,4339279	0,2110815	0,2224227	0,1828423	0,4949154	0,1050607	0,3389365	0,4580384	0,4737999	0,2316338	0,2115480	0,7059377	0,0908479	0,6747314	0,0219359	0,0448578	0,6454575	0,7209555	0,0476079	0,6957144	0,5982649	0,6574821	0,5279731	0,6668746	0,2936608
500	0,0119119	0,3481055	0,0151617	0,0109144	0,1754650	0,4064334	0,7344395	0,4227782	0,2114250	0,4030963	0,2095858	0,4967580	0,0857629	0,3690158	0,3731045	0,3436889	0,2289788	0,2532283	0,6839228	0,0313789	0,7885558	0,0101746	0,0525561	0,6258546	0,6182700	0,0312648	0,7927735	0,5976411	0,6096584	0,4978314	0,6561754	0,3194041
520	0,0012713	0,4119101	0,0490587	0,0220986	0,2345309	0,5287909	0,7619168	0,3303527	0,1772612	0,2842994	0,2453235	0,5089417	0,0786979	0,3859822	0,4149150	0,3990871	0,2315539	0,2683747	0,6521788	0,0435898	0,8786760	0,0253269	0,0307992	0,6463861	0,6550983	0,0365816	0,6923526	0,5813946	0,7620398	0,6412618	0,5917033	0,2190444
540	0,0058684	0,4496304	0,0395189	0,0072249	0,2438562	0,4119942	0,7723940	0,4336742	0,2122056	0,2571142	0,2376588	0,5348201	0,1112284	0,4969746	0,4314135	0,5061694	0,1988474	0,2495324	0,8170436	0,0319847	0,6197750	0,0284811	0,0511973	0,7243876	0,7936794	0,0407049	0,6038578	0,5707240	0,6955236	0,7355820	0,7449261	0,3284665
560	0,0033648	0,4635003	0,0309651	0,0183725	0,2150875	0,4213581	0,8026072	0,4073743	0,2070440	0,3526964	0,2444816	0,6165271	0,1184077	0,4458948	0,4716200	0,3814424	0,2216247	0,2310842	0,6443857	0,0445501	0,6171969	0,0474902	0,0366401	0,6125394	0,6499574	0,0601751	0,6746754	0,5381006	0,6008317	0,5018459	0,8545696	0,2981340
