"Time"	hupA	fis	mtlR	marR	marA	rob	putA	glcC	xylR	hupB	marB	micF	pgm	seqA	zwf	xylH	inaA	nfo	xylF	xylG	ygiA	ygiB	tolC	ygiC	mtlD	mtlA	fumC	tyrP	mtr	galM	galK	galE
260	0,4976256	0,3647432	0,2381266	0,3958708	0,4366425	0,8048831	0,1817314	0,5487057	0,8890164	0,9113947	0,5492518	0,9786181	0,1987761	0,6512981	0,7083987	0,8101312	0,8834589	0,7179011	0,5869125	0,4041043	0,3759575	0,6435026	0,9365518	0,1939644	0,9098259	0,1386345	0,6875617	0,8823342	0,1044131	0,0353182	0,0612326	0,5050732
280	0,4837939	0,3499897	0,2136347	0,3716773	0,4297335	0,8802258	0,1579721	0,5197397	0,9093821	0,9354719	0,5673623	1,0434201	0,1820886	0,6901605	0,7063724	0,6826357	0,9087680	0,6863058	0,5825053	0,3523730	0,3669686	0,6544824	0,9159435	0,1799413	0,9608991	0,1451609	0,6677188	0,8719375	0,0815333	0,0284522	0,0560552	0,5044312
300	0,4227953	0,3508239	0,2431000	0,3419204	0,4006803	0,8277554	0,1648106	0,5317200	0,9149824	0,9217179	0,5496252	1,0541225	0,1506696	0,6398150	0,6732518	0,7443981	0,8622979	0,6928487	0,5963914	0,3351278	0,3514865	0,6669933	0,9672833	0,1775039	1,0391638	0,1587486	0,7030692	0,8170104	0,0802573	0,0212756	0,0650003	0,5460113
320	0,4401949	0,4040914	0,2844604	0,3568736	0,3959957	0,7658602	0,1718175	0,4682773	0,8919659	0,8840162	0,5504093	1,0879790	0,1649931	0,6041130	0,6890907	0,7422993	0,8995840	0,6386047	0,6115089	0,3557938	0,3709983	0,6648996	1,0149679	0,1835553	0,9841806	0,1349832	0,7073884	0,8176068	0,0855665	0,0297296	0,0491729	0,5655678
340	0,3809836	0,3773813	0,2820234	0,3758818	0,4015182	0,7169305	0,2046411	0,5296638	0,9266382	0,9146982	0,5514315	1,1640570	0,1908147	0,6139303	0,6757854	0,7867218	0,9078166	0,6847817	0,6149773	0,4307256	0,3418094	0,6966247	0,9099455	0,1517996	0,9677118	0,1785588	0,7325531	0,8412495	0,0772409	0,0286765	0,0526110	0,5630667
360	0,4012445	0,4156044	0,2915581	0,3955903	0,3778318	0,7533642	0,1640238	0,6073255	0,9812438	0,8906095	0,5787136	1,1101491	0,2129809	0,6227426	0,6960190	0,7950939	0,8677547	0,6558861	0,6566389	0,5119527	0,3315822	0,6800224	0,9119599	0,1684733	0,9330881	0,1349320	0,7331255	0,8602071	0,0703393	0,0314836	0,0549603	0,5353265
380	0,3602628	0,4160055	0,2589700	0,3764829	0,4042387	0,7788570	0,1599743	0,6255323	0,9799624	0,8775489	0,5626342	1,0679682	0,1905296	0,6192726	0,6779759	0,8671687	0,8615064	0,6346719	0,5816140	0,5410777	0,2969984	0,6903811	0,9093748	0,1398772	0,9214491	0,1607047	0,7084816	0,8741449	0,0821697	0,0339058	0,0431681	0,5164403
400	0,4102418	0,3948526	0,2705396	0,3921099	0,4020349	0,7897861	0,1547169	0,6148595	0,9942460	0,9108145	0,5649948	1,0639798	0,1892335	0,6894612	0,6768989	0,8630901	0,8185314	0,6911896	0,5936929	0,4533286	0,3396171	0,6299882	0,9107241	0,1293754	0,9406370	0,1948621	0,7162772	0,9175045	0,0928776	0,0324829	0,0520843	0,5271676
420	0,4257282	0,3943614	0,2706129	0,3606068	0,4369155	0,8024544	0,2085015	0,5999895	0,9383659	0,9368545	0,6059189	1,0326904	0,2279680	0,7648120	0,7380409	0,7770767	0,8087478	0,6883578	0,5830366	0,4470135	0,3650673	0,6130549	0,9181425	0,1348246	0,9925870	0,2233204	0,7174963	0,9440769	0,0920311	0,0265434	0,0541267	0,5768787
440	0,4003397	0,4278284	0,2925240	0,3608799	0,4305607	0,8206670	0,2004951	0,6235785	0,9618612	0,9663259	0,6007666	1,0181601	0,2509028	0,7539666	0,6690418	0,7773867	0,8721973	0,6944417	0,5902289	0,4280619	0,3443206	0,6173730	0,8889458	0,1402710	1,0116117	0,1807352	0,6728715	0,8976168	0,0814525	0,0276152	0,0492002	0,5792823
