"Time"	araC	crp	rhaR	rhaS	melR	malI	feaR	zraR	mtlR	rbsR	rbsD	rbsA	araA	rhaA	araB	zraS	araG	rbsB	melA	rbsK	melB	araF	rbsC	rhaB	rhaD	araJ	araD	araE	malX	araH	malY	xylA
300	0,4166304	0,4594246	0,0274739	0,0931168	0,4815761	0,8179284	0,3159720	0,0144733	0,7872216	0,1705516	0,6732198	0,4208623	0,1538911	0,2727021	0,5016243	0,5530411	0,5457989	0,6454578	0,2563190	0,7957364	0,7084277	0,3886456	0,6879972	0,3594987	0,0490050	0,6524265	0,5959306	0,6437611	0,1109759	0,5160568	0,5436683	0,1048513
320	0,4700875	0,5790687	0,0232033	0,0962175	0,3941083	0,8547930	0,3285077	0,0053477	0,7253270	0,1599127	0,6372664	0,4192809	0,1507578	0,3878670	0,4954966	0,5425804	0,6366345	0,7392297	0,2893652	0,5685191	0,7943112	0,3420966	0,6639223	0,3580956	0,1311489	0,5762537	0,6241180	0,5340354	0,1430344	0,4692621	0,6824089	0,1115884
340	0,3527961	0,5172540	0,0743478	0,0892562	0,5832252	0,8015300	0,3396363	0,0428947	0,8021467	0,2302038	0,6368572	0,5825985	0,1175073	0,2667177	0,4682177	0,5956280	0,6834453	0,5633349	0,3024214	0,5985026	0,6185355	0,2506957	0,6933841	0,3999499	0,0949414	0,6938215	0,6777564	0,4060042	0,1059753	0,4341725	0,6976907	0,0671373
360	0,3974697	0,4489676	0,0511268	0,0906860	0,5129036	0,7335774	0,3247517	0,0497720	0,7198052	0,2216566	0,6150863	0,4809703	0,1742876	0,3264653	0,4651780	0,5342695	0,7683555	0,7238184	0,2165200	0,7583448	0,7100472	0,2905905	0,7226148	0,3912048	0,0503614	0,7075191	0,6734121	0,5730832	0,0709161	0,3980338	0,5249551	0,0859214
380	0,3962918	0,5315000	0,0475717	0,0688936	0,5515597	0,8526462	0,3107078	0,0444209	0,6838186	0,1867209	0,6774373	0,5385618	0,2413527	0,3368334	0,4403602	0,5762097	0,6965834	0,6387893	0,3318818	0,6859319	0,7811018	0,2964342	0,7116275	0,3687109	0,1037459	0,7124026	0,5899354	0,4853023	0,1230714	0,4647756	0,6156925	0,0761969
400	0,4363992	0,5255938	0,0318093	0,1168389	0,4385450	0,8739738	0,2931906	0,0814015	0,8168842	0,1523231	0,5735852	0,4430433	0,1095103	0,3882231	0,4952384	0,5930603	0,7108215	0,8009662	0,2665345	0,6685529	0,8036710	0,2412465	0,6675223	0,4048377	0,0708438	0,7215829	0,6228558	0,4886003	0,1105546	0,5077792	0,6574126	0,0729303
420	0,3932906	0,5280070	0,0171785	0,1021406	0,4430403	0,7280699	0,3491387	0,0277066	0,9003193	0,1759168	0,5771042	0,5138578	0,1166709	0,4454280	0,4594826	0,6432222	0,8167556	0,6855039	0,2662573	0,7347947	0,8328216	0,3503509	0,6856961	0,3862281	0,0701546	0,8006532	0,7213804	0,4464484	0,1361020	0,4609042	0,5544681	0,0411317
440	0,4207462	0,5072645	0,0725848	0,0725954	0,4209425	0,8814302	0,3305450	0,0532937	0,7635660	0,2152968	0,5222214	0,4454989	0,1757014	0,3318612	0,4011760	0,5068137	0,5844351	0,6566065	0,3095409	0,6820011	0,6905761	0,3414168	0,6500571	0,2894529	0,0665438	0,5912220	0,7493566	0,6573096	0,1573894	0,4941325	0,5207495	0,0515107
460	0,3329702	0,4549384	0,0609047	0,0887725	0,3921164	0,7010277	0,3062462	0,0441350	0,7463962	0,2851940	0,5589156	0,4863103	0,1644261	0,4046112	0,4160688	0,5872302	0,6881785	0,7270014	0,2650890	0,7273517	0,5936648	0,3007436	0,6050261	0,3494288	0,0625820	0,6570463	0,6787605	0,5352401	0,1431746	0,4068631	0,6566842	0,1055111
480	0,3436597	0,4836411	0,0524294	0,0828172	0,5388768	0,8149975	0,2280736	0,0094452	0,6570993	0,2089418	0,5398887	0,3653273	0,1154472	0,4342031	0,4397609	0,5070775	0,6238937	0,6928972	0,2533553	0,6927580	0,7569930	0,2763384	0,6186227	0,3289686	0,0454781	0,6685806	0,5199894	0,7214104	0,1374749	0,4270652	0,6780551	0,0876409
500	0,3453753	0,4329208	0,0306670	0,0557364	0,4993298	0,8378047	0,2908788	0,0563064	0,8841479	0,1848224	0,6286481	0,4330904	0,1761729	0,3929659	0,4081356	0,5547926	0,7542264	0,5558408	0,2900492	0,6794613	0,6147343	0,2522126	0,6785760	0,3882160	0,0724199	0,6298162	0,6609873	0,6300203	0,1663490	0,4141845	0,6485777	0,1186671
520	0,3964210	0,5307635	0,0524055	0,0721797	0,3991741	0,6815686	0,2583106	0,0556543	0,7810384	0,1648155	0,6746170	0,4875403	0,2193999	0,3902030	0,4332639	0,5009201	0,6642109	0,5311156	0,3207467	0,7085846	0,7196367	0,2572447	0,6253421	0,3168964	0,0828530	0,6159666	0,6270670	0,5040391	0,2172607	0,7010886	0,6182169	0,0884174
540	0,3846291	0,4977796	0,0382239	0,0629006	0,4245366	0,7815212	0,2996335	0,0142925	0,7051271	0,2138934	0,5923026	0,4602022	0,1624622	0,3053127	0,4448345	0,6180706	0,6667207	0,6080325	0,3140454	0,6028978	0,7067430	0,2576042	0,7256675	0,3835539	0,0482132	0,6681226	0,5404677	0,5701414	0,1531029	0,4847240	0,5713729	0,0713063
