"Time"	lldR	arcA	betI	xylR	gadX	torR	rutR	gadW	nemR	gadE	gadA	hdeB	yhiD	hdeA	gadC	cadA	cadB	gadB	mdtE	mdtF	betB	betT	lldD	gadY	betA	lldP	nemA	slp	dctR	hdeD	rutD	rutA
300	0,6966020	0,6364739	0,6765682	0,1566565	0,8771589	0,6202642	0,5503137	0,3743130	0,4333474	0,6906902	0,9414612	0,6574445	0,8352556	0,9075973	0,7462559	0,9312099	0,0490292	0,8970499	0,6983587	0,8147932	0,1560978	0,2811971	0,2375651	0,8390359	0,7925992	0,2427943	0,1769252	0,6747385	0,9767178	0,3591674	0,5334345	0,5105089
320	0,7232195	0,6670280	0,6901853	0,1380092	0,8804258	0,6417488	0,5982460	0,3895896	0,4459171	0,6825182	0,9541246	0,6699173	0,8730502	0,9128201	0,7125764	0,9459393	0,0559423	0,8476924	0,7569262	0,7653333	0,1615778	0,2838568	0,2376664	0,8270087	0,7679549	0,2797729	0,1829127	0,6900472	0,9731312	0,4175727	0,4879505	0,5610144
340	0,6969695	0,6500605	0,6388608	0,1302254	0,8684686	0,5961721	0,6387745	0,4340581	0,4000617	0,7060677	0,9230986	0,6207217	0,8617800	0,9425330	0,7033109	0,8918607	0,0658654	0,8708365	0,7566877	0,7256547	0,1531503	0,3041583	0,2613176	0,7833641	0,7333231	0,3130676	0,1689817	0,6863554	1,0284383	0,4388368	0,5008501	0,6221830
360	0,7307731	0,6246216	0,6536629	0,1353606	0,8706320	0,5694786	0,6470301	0,3986354	0,4338719	0,7139701	0,8715701	0,6139566	0,8449030	0,9646882	0,6856411	0,8307503	0,0640772	0,9400544	0,7813438	0,7732236	0,1677171	0,3052546	0,2638045	0,7816550	0,7166255	0,3092361	0,1573410	0,7113631	0,9495481	0,4251202	0,5237883	0,5754191
380	0,7165314	0,6826620	0,6934793	0,1758597	0,8534554	0,6124806	0,6755433	0,4211168	0,3788510	0,7116398	0,9401661	0,6030902	0,8717156	0,9550099	0,6652098	0,7730380	0,0731050	0,9726104	0,7787417	0,7922757	0,1715665	0,3165852	0,2453223	0,7231109	0,7220318	0,3044602	0,1543792	0,6631945	0,8265331	0,4481614	0,5397688	0,5961216
400	0,7616880	0,6702365	0,6833319	0,1924947	0,7689542	0,5675221	0,6390348	0,3308168	0,4333511	0,7395508	0,9240577	0,6799707	0,8361036	0,8841655	0,6192658	0,8007271	0,0636883	1,0188106	0,7277649	0,7472814	0,1571125	0,2835003	0,2394203	0,7473108	0,6841889	0,2916015	0,1855513	0,7102352	0,8498034	0,4348305	0,5405571	0,5719729
420	0,7223542	0,6900711	0,6868537	0,1852131	0,7864277	0,5630891	0,6478241	0,4239853	0,4269899	0,7211410	0,9653441	0,6755777	0,8692571	0,8958575	0,7186798	0,7872398	0,0585037	0,9719469	0,7134212	0,8263554	0,1471325	0,2895618	0,2253278	0,7141683	0,7173930	0,3081369	0,1876666	0,6749803	0,9098730	0,4529421	0,5507767	0,5260732
440	0,7309293	0,7102259	0,6576237	0,1640855	0,7733539	0,5946290	0,5922354	0,4622764	0,4564812	0,7460639	0,9828183	0,6167372	0,8596548	0,8990416	0,6661135	0,7865544	0,0433361	0,9526392	0,6758709	0,8261046	0,1490769	0,3076674	0,2286247	0,7539518	0,7592181	0,3258971	0,1664175	0,7286700	0,9511152	0,4359773	0,5018185	0,5611871
460	0,6962717	0,6951073	0,6553474	0,1530048	0,7759197	0,6175345	0,5994781	0,4529863	0,4201080	0,7668939	1,0268281	0,5829905	0,7737229	0,9323619	0,6301280	0,7627087	0,0467396	0,9312565	0,6118936	0,8692493	0,1530525	0,3039222	0,2047674	0,7632617	0,7726650	0,3356149	0,1696789	0,7625863	0,9295669	0,3964971	0,4652576	0,5211427
480	0,7273683	0,6600678	0,7195794	0,1751045	0,8664878	0,6531459	0,5967127	0,4412357	0,4099793	0,7486925	1,0881276	0,5954440	0,8044927	0,9209621	0,7183853	0,8162683	0,0504864	0,9224057	0,6242608	0,8583753	0,1900634	0,2839765	0,2125411	0,7656273	0,7466838	0,3112519	0,1678091	0,6679806	0,9322547	0,4034107	0,5159731	0,5188731
500	0,6921463	0,5988704	0,6676592	0,1592785	0,8627785	0,6417819	0,6449087	0,4236116	0,3959316	0,7609184	1,0289733	0,5644897	0,8443186	0,9983525	0,6974351	0,7809241	0,0529569	0,9005141	0,6767951	0,8206621	0,1624290	0,2786730	0,1954626	0,7593016	0,7234531	0,2757879	0,1779528	0,7161640	0,9707522	0,3648523	0,6208598	0,5235743
520	0,6673013	0,7025774	0,5904219	0,1306371	0,9027622	0,6507199	0,6762305	0,4316575	0,3430425	0,8199457	1,0154371	0,5696880	0,8017887	1,0312484	0,7353582	0,8180141	0,0427801	0,8459491	0,6797990	0,8071610	0,1519914	0,2449521	0,2177650	0,7191354	0,7023351	0,2881234	0,1822496	0,6522248	0,9851638	0,4420105	0,6174134	0,5107301
