"Time"	fur	rcnR	metJ	metR	oxyR	purR	soxS	soxR	marR	marA	fumC	marB	sodA	rfaY	poxB	glyA	fpr	ahpF	ahpC	uof	pqiA	fhuF	rcnA	pqiB	rfaZ	metE	metA	metH	purA	mntH	nfo	inaA
260	0,5477869	0,3689359	0,2040976	0,4886781	0,2215269	0,1691702	0,0877552	0,2451710	0,6192329	0,7048326	0,0791164	0,1814846	0,6599701	0,0825366	0,3892680	0,2350748	0,3745064	0,2577223	0,9545952	0,9908009	0,7804523	0,2320249	0,5886767	0,3498523	0,9339726	0,8884882	0,9822106	0,1507342	0,4274531	0,5713690	0,2130829	0,5280490
280	0,5366007	0,3663558	0,2132266	0,4850041	0,2215269	0,1733423	0,0876027	0,2452569	0,6187638	0,7055098	0,0744712	0,1822783	0,6587372	0,0781516	0,3901190	0,2302885	0,3633447	0,2564129	0,9536482	0,9935625	0,7804367	0,2539046	0,6032689	0,3338439	0,9383469	0,8831095	0,9812122	0,1454090	0,4232699	0,5745594	0,2067792	0,5264176
300	0,5281315	0,3639511	0,2227451	0,4801057	0,2215269	0,1769012	0,0875472	0,2452993	0,6186032	0,7060225	0,0716980	0,1829838	0,6580607	0,0749009	0,3906554	0,2247752	0,3550982	0,2549134	0,9522297	0,9953176	0,7804255	0,2760793	0,6175769	0,3221610	0,9414178	0,8754199	0,9795414	0,1417485	0,4186610	0,5781619	0,2017005	0,5253702
320	0,5219056	0,3618295	0,2321666	0,4743481	0,2215269	0,1797654	0,0875325	0,2453171	0,6186110	0,7063853	0,0700595	0,1835864	0,6577460	0,0725386	0,3909927	0,2189373	0,3491530	0,2532626	0,9504002	0,9964277	0,7804177	0,2974027	0,6309374	0,3138463	0,9435733	0,8654824	0,9772158	0,1392403	0,4139510	0,5818216	0,1977087	0,5247270
340	0,5174342	0,3600496	0,2411027	0,4681187	0,2215269	0,1819554	0,0875325	0,2453230	0,6186930	0,7066243	0,0691006	0,1840825	0,6576492	0,0708505	0,3912042	0,2131202	0,3449523	0,2515212	0,9482438	0,9971269	0,7804123	0,3169897	0,6428955	0,3080476	0,9450862	0,8535846	0,9742887	0,1375175	0,4094021	0,5852957	0,1946333	0,5243496
360	0,5142810	0,3586247	0,2492821	0,4617783	0,2215269	0,1835582	0,0875360	0,2453237	0,6187929	0,7067698	0,0685439	0,1844772	0,6576711	0,0696608	0,3913366	0,2075911	0,3420327	0,2497567	0,9458605	0,9975657	0,7804087	0,3342843	0,6532115	0,3040681	0,9461480	0,8402319	0,9708510	0,1363214	0,4052026	0,5884377	0,1923014	0,5241383
380	0,5120885	0,3575331	0,2565476	0,4556273	0,2215269	0,1846902	0,0875392	0,2453229	0,6188825	0,7068499	0,0682228	0,1847812	0,6577478	0,0688321	0,3914193	0,2025314	0,3400305	0,2480328	0,9433561	0,9978402	0,7804064	0,3490449	0,6618299	0,3013708	0,9468933	0,8260745	0,9670259	0,1354734	0,4014672	0,5911766	0,1905552	0,5240261
400	0,5105798	0,3567310	0,2628393	0,4498887	0,2215269	0,1854685	0,0875413	0,2453218	0,6189511	0,7068878	0,0680385	0,1850086	0,6578414	0,0682605	0,3914710	0,1980429	0,3386721	0,2464021	0,9408321	0,9980114	0,7804048	0,3612819	0,6688298	0,2995591	0,9474165	0,8117983	0,9629578	0,1348530	0,3982470	0,5934952	0,1892601	0,5239697
420	0,5095497	0,3561647	0,2681706	0,4447059	0,2215269	0,1859943	0,0875424	0,2453210	0,6189978	0,7069009	0,0679330	0,1851738	0,6579319	0,0678693	0,3915032	0,1941614	0,3377582	0,2449029	0,9383771	0,9981179	0,7804038	0,3711772	0,6743751	0,2983501	0,9477837	0,7980208	0,9587973	0,1343806	0,3955433	0,5954119	0,1883062	0,5239431
440	0,5088502	0,3557801	0,2726048	0,4401516	0,2215269	0,1863463	0,0875429	0,2453205	0,6190263	0,7069010	0,0678727	0,1852908	0,6580099	0,0676034	0,3915233	0,1908744	0,3371474	0,2435584	0,9360617	0,9981840	0,7804032	0,3790100	0,6786711	0,2975464	0,9480415	0,7852206	0,9546864	0,1340050	0,3933238	0,5969651	0,1876072	0,5239314
