"Time"	fur	rcnR	metJ	metR	oxyR	purR	soxS	soxR	marR	marA	fumC	marB	sodA	rfaY	poxB	glyA	fpr	ahpF	ahpC	uof	pqiA	fhuF	rcnA	pqiB	rfaZ	metE	metA	metH	purA	mntH	nfo	inaA
300	0,5573894	0,2923748	0,2642256	0,4978586	0,2177989	0,1933495	0,1029619	0,2764452	0,6856601	0,6652362	0,0465709	0,1844311	0,7027547	0,1257853	0,3689199	0,2157767	0,3530104	0,2949159	0,9688309	1,0509965	0,8018416	0,3232540	0,6570025	0,3960535	0,9814392	0,9692539	0,9425236	0,1517626	0,5080654	0,5638671	0,1814222	0,5200376
320	0,5502396	0,3027734	0,2562537	0,5264143	0,2438977	0,1725155	0,1159100	0,2339328	0,6974401	0,6585944	0,0421474	0,1751906	0,7300875	0,0966085	0,3566209	0,1779845	0,3176076	0,2973539	0,9581241	1,0286415	0,7830191	0,3191638	0,6754363	0,3862680	0,9883525	0,8241429	0,9802904	0,1373012	0,4702815	0,5920908	0,1622862	0,5094510
340	0,5369584	0,3242519	0,2679798	0,5357800	0,2416267	0,1446092	0,1018974	0,2534244	0,6267942	0,7135917	0,0569942	0,1704648	0,6514770	0,0963237	0,3476978	0,1913654	0,3468823	0,3132438	0,9278354	1,0325175	0,8233791	0,3178848	0,7094187	0,4024662	1,0489819	0,8823306	0,9842827	0,1385670	0,4363997	0,6021357	0,1879347	0,4767205
360	0,5783864	0,3113647	0,2443149	0,5218500	0,2396235	0,1591823	0,1025567	0,2888865	0,6100121	0,7306297	0,0761683	0,1628515	0,7701651	0,1093577	0,4107855	0,1959473	0,3387501	0,2910960	0,8740418	1,0557085	0,8237696	0,3114219	0,7188823	0,3778773	1,0453119	0,8454429	0,9679164	0,1202952	0,4430514	0,6182572	0,1908153	0,5107462
380	0,5809028	0,3415678	0,2431852	0,5144081	0,2130198	0,2008418	0,1306463	0,2265627	0,6228682	0,7206223	0,1074077	0,1586965	0,7058891	0,1009356	0,3655308	0,2362739	0,3728330	0,2671893	1,0099157	1,0311066	0,8629324	0,3145417	0,6836798	0,3580533	1,0102747	0,8566696	0,9281750	0,1128674	0,4368846	0,6549653	0,2329501	0,5031548
400	0,5735217	0,3474280	0,2368621	0,4287562	0,1967395	0,2059844	0,1107207	0,2311140	0,6197234	0,7568403	0,1003592	0,1929608	0,6694339	0,1079911	0,3634803	0,2522582	0,3647150	0,2671800	0,9968173	1,0199132	0,8587798	0,3132739	0,5904197	0,3844237	0,9853931	0,8443814	0,8504201	0,1101575	0,4240332	0,6756810	0,2473172	0,4662781
420	0,5858844	0,3080355	0,2430246	0,4244347	0,2049463	0,1860685	0,1220601	0,3222828	0,5821733	0,7878401	0,0892657	0,1723299	0,6549744	0,1295754	0,3436414	0,2277680	0,4422969	0,2575162	0,9700636	1,0409050	0,8141165	0,3747405	0,5967026	0,4089702	0,9868230	0,8288933	0,9082177	0,1284439	0,4379763	0,5814250	0,2413687	0,4599620
440	0,5830034	0,2818380	0,3030588	0,4008997	0,2136472	0,1687061	0,1116717	0,2798592	0,6460218	0,7626071	0,1326369	0,1889856	0,6398225	0,1167882	0,3473613	0,2334228	0,4269676	0,2567748	0,9398367	1,1572815	0,8251949	0,3303596	0,5974548	0,4270833	0,9566142	0,8783892	0,9270108	0,1201780	0,4440667	0,5918346	0,2233807	0,5280449
460	0,6378742	0,3353699	0,2811139	0,4262241	0,1772790	0,1769596	0,1065230	0,2381127	0,6004709	0,8091115	0,1133371	0,2072016	0,6661947	0,0946261	0,3359123	0,2363068	0,4409587	0,2598727	0,9018820	1,1369535	0,8873108	0,2821958	0,5796068	0,4452884	0,9594375	0,8406226	0,8891671	0,1142433	0,4165151	0,5725934	0,2467053	0,5441615
480	0,5777053	0,3752455	0,2485294	0,4325931	0,2060312	0,1756225	0,0921316	0,2359483	0,6281943	0,7142145	0,1148766	0,2354381	0,6928839	0,0893238	0,3374286	0,2296674	0,4654422	0,2228203	0,8549477	1,0723674	0,8461266	0,2307307	0,5997373	0,4550404	0,9500240	0,6762649	0,9177818	0,1001333	0,4173530	0,5471052	0,2216805	0,5721206
500	0,5841049	0,3942265	0,2174351	0,3765222	0,2543307	0,1722442	0,0812878	0,2384499	0,6652532	0,7113303	0,1051697	0,2023742	0,6677514	0,0732437	0,3809415	0,2371655	0,4288646	0,2540267	0,8622476	1,1024775	0,8134932	0,2182490	0,6333781	0,4261750	0,9526776	0,7204361	0,9328679	0,1208503	0,4133014	0,5545007	0,2503468	0,5742540
520	0,6433114	0,3555998	0,2276303	0,3882789	0,2278781	0,1596327	0,0793591	0,2235613	0,6508191	0,7188053	0,1081599	0,2096967	0,6563665	0,0722090	0,3600463	0,2388335	0,4504463	0,2666375	0,9132799	1,0495100	0,8248506	0,2102545	0,5558663	0,4035870	0,9417397	0,7738221	0,9652989	0,1234808	0,3891915	0,5710019	0,2859217	0,5432054
540	0,6140407	0,3712735	0,2209443	0,4031399	0,2271361	0,1205386	0,0812402	0,1841900	0,6659207	0,7374086	0,0672802	0,2209480	0,6587073	0,0764407	0,3927533	0,2131286	0,4219599	0,2764637	1,0008472	0,9913275	0,8241240	0,2014429	0,6237876	0,3746180	0,9099252	0,7572214	0,9941578	0,1350617	0,3907739	0,5892860	0,2499154	0,5302820
560	0,6038677	0,4153488	0,2273046	0,4334470	0,1972336	0,1382076	0,0700399	0,1868872	0,6671735	0,7898570	0,0713671	0,2226295	0,5979901	0,0857254	0,3538547	0,2780274	0,3639602	0,2923465	0,9736146	0,9585436	0,7995287	0,1897350	0,7009662	0,3747891	0,9067883	0,8538671	1,0796984	0,1590041	0,4113270	0,6816773	0,2034408	0,5491287
580	0,5471227	0,3581053	0,2221191	0,4030195	0,2192458	0,1885030	0,0842571	0,3099547	0,6476262	0,6977890	0,0746723	0,2229767	0,5793058	0,0859260	0,3486458	0,2646118	0,3197998	0,3309631	0,9128394	0,9080331	0,8546108	0,2052478	0,6289104	0,3064453	0,7551480	0,8160928	1,0653499	0,1839834	0,3800687	0,6676431	0,1917427	0,5119919
600	0,5789653	0,3726227	0,2410702	0,4669736	0,2517451	0,2168086	0,0964723	0,3513544	0,6238619	0,7494045	0,0822938	0,2242870	0,6141888	0,0734402	0,3346250	0,2676526	0,2827879	0,4335835	0,9273589	0,7141626	0,9007624	0,2260152	0,6327126	0,3083701	0,6714555	0,7400969	1,0542127	0,3291857	0,4165231	0,6513330	0,1986744	0,5557824
620	0,5204628	0,3781050	0,2687262	0,4788373	0,2115446	0,2333877	0,1203027	0,4611818	0,5634242	0,7734751	0,0866675	0,2233642	0,6576553	0,0600135	0,2735391	0,2271440	0,2372798	0,4323168	0,7784351	0,5593972	0,8857423	0,2322742	0,6615934	0,3008874	0,5321148	0,8424602	1,0310329	0,4507356	0,4019569	0,7422920	0,2014198	0,5822146
640	0,4615696	0,4217241	0,2863219	0,4376652	0,2022152	0,2193377	0,1418634	0,4699707	0,6366917	0,7585917	0,1997111	0,2151754	0,6558309	0,0569213	0,2063203	0,2143542	0,2238916	0,4583493	0,8975997	0,4518922	0,7934208	0,2430616	0,6637535	0,3092912	0,4324621	0,7694788	1,0507326	0,5504657	0,3754216	0,7232177	0,2224657	0,5773475
660	0,4813567	0,3893942	0,3095128	0,4360107	0,2143673	0,2534300	0,1496201	0,5316574	0,6562766	0,7916730	0,4031538	0,2248100	0,6740440	0,0769673	0,1446549	0,2076552	0,2738982	0,4616052	0,9855513	0,3299708	0,7619576	0,2714494	0,6986491	0,4160961	0,3751741	0,7622124	1,0063073	0,6077382	0,3516699	0,7494196	0,2270275	0,5734050
680	0,5446513	0,3960745	0,3305976	0,4598653	0,2572918	0,2651338	0,1671254	0,4765894	0,5935828	0,7329549	0,4466091	0,2236477	0,6323947	0,0909450	0,1171091	0,1762109	0,2961985	0,4672477	0,9653495	0,2740122	0,7818496	0,3766781	0,7397697	0,4809513	0,2662495	0,7457923	0,9517597	0,6973744	0,3713135	0,7606614	0,2993099	0,5593322
