"Time"	fur	rcnR	metJ	metR	oxyR	purR	soxS	soxR	marR	marA	fumC	marB	sodA	rfaY	poxB	glyA	fpr	ahpF	ahpC	uof	pqiA	fhuF	rcnA	pqiB	rfaZ	metE	metA	metH	purA	mntH	nfo	inaA
260	0,5283617	0,3617313	0,2306282	0,4835073	0,2215269	0,1771786	0,0872464	0,2453309	0,6180900	0,7058173	0,0725604	0,1836190	0,6578296	0,0718117	0,3910715	0,2252948	0,3452314	0,2551481	0,9534995	0,9974162	0,7804027	0,2667522	0,6123512	0,3220802	0,9410715	0,8860436	0,9806771	0,1385891	0,4199094	0,5769885	0,1954123	0,5244684
280	0,5216526	0,3594447	0,2417427	0,4774081	0,2215269	0,1803852	0,0874022	0,2453406	0,6182816	0,7062800	0,0705371	0,1842151	0,6575002	0,0701159	0,3912578	0,2183633	0,3414273	0,2534169	0,9517793	0,9977769	0,7804008	0,2901287	0,6271129	0,3132984	0,9433313	0,8793537	0,9781278	0,1370368	0,4145455	0,5814262	0,1923470	0,5240706
300	0,5170001	0,3576919	0,2516639	0,4706733	0,2215269	0,1827250	0,0874838	0,2453373	0,6185076	0,7065853	0,0693630	0,1846698	0,6574307	0,0690093	0,3913722	0,2116646	0,3391254	0,2515436	0,9496611	0,9979889	0,7804001	0,3117965	0,6403621	0,3073770	0,9449166	0,8703327	0,9749110	0,1360078	0,4094377	0,5854548	0,1902310	0,5238991
320	0,5138298	0,3564514	0,2601462	0,4637530	0,2215269	0,1843236	0,0875224	0,2453314	0,6187067	0,7067690	0,0686873	0,1849988	0,6574958	0,0682969	0,3914426	0,2055064	0,3377669	0,2496307	0,9472471	0,9981133	0,7804002	0,3309265	0,6517401	0,3034447	0,9460290	0,8591620	0,9711194	0,1353063	0,4048094	0,5889522	0,1887936	0,5238454
340	0,5116945	0,3556479	0,2671401	0,4570275	0,2215269	0,1853571	0,0875385	0,2453264	0,6188567	0,7068671	0,0683012	0,1852244	0,6576166	0,0678427	0,3914860	0,2000745	0,3369815	0,2477680	0,9446531	0,9981865	0,7804005	0,3471404	0,6611520	0,3008598	0,9468098	0,8462633	0,9668934	0,1348040	0,4007853	0,5918850	0,1878260	0,5238452
360	0,5102660	0,3551822	0,2727341	0,4507767	0,2215269	0,1859981	0,0875440	0,2453232	0,6189568	0,7069104	0,0680816	0,1853702	0,6577484	0,0675550	0,3915129	0,1954428	0,3365347	0,2460251	0,9419966	0,9982295	0,7804009	0,3604247	0,6686924	0,2991706	0,9473578	0,8322516	0,9624075	0,1344200	0,3974055	0,5942774	0,1871763	0,5238637
380	0,5093135	0,3549537	0,2770963	0,4451757	0,2215269	0,1863865	0,0875451	0,2453213	0,6190164	0,7069220	0,0679570	0,1854583	0,6578687	0,0673733	0,3915295	0,1916000	0,3362831	0,2444483	0,9393841	0,9982547	0,7804012	0,3710076	0,6745688	0,2980690	0,9477425	0,8178306	0,9578488	0,1341052	0,3946479	0,5961860	0,1867384	0,5238845
400	0,5086790	0,3548757	0,2804266	0,4403062	0,2215269	0,1866221	0,0875447	0,2453204	0,6190470	0,7069177	0,0678862	0,1855072	0,6579685	0,0672587	0,3915397	0,1884791	0,3361419	0,2430620	0,9369031	0,9982695	0,7804015	0,3792452	0,6790386	0,2973500	0,9480125	0,8036745	0,9533936	0,1338318	0,3924515	0,5976810	0,1864406	0,5239010
420	0,5082560	0,3548818	0,2829245	0,4361779	0,2215269	0,1867688	0,0875441	0,2453201	0,6190594	0,7069074	0,0678459	0,1855312	0,6580465	0,0671863	0,3915461	0,1859851	0,3360624	0,2418723	0,9346171	0,9982783	0,7804017	0,3855354	0,6823658	0,2968794	0,9482021	0,7903370	0,9491894	0,1335852	0,3907364	0,5988346	0,1862357	0,5239120
440	0,5079736	0,3549261	0,2847705	0,4327510	0,2215269	0,1868640	0,0875436	0,2453199	0,6190617	0,7068964	0,0678228	0,1855405	0,6581050	0,0671406	0,3915500	0,1840148	0,3360172	0,2408722	0,9325657	0,9982834	0,7804018	0,3902628	0,6847950	0,2965700	0,9483352	0,7782049	0,9453438	0,1333592	0,3894185	0,5997137	0,1860928	0,5239182
