"Time"	ihfB	hipA	hipB	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcG	tdcF	tdcB	tdcD	tdcE	tdcC	lyxK	yiaN	yiaO	sgbH	sgbE	sgbU	yiaK	yiaL	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF
260	0,5115474	0,1630603	0,4434693	0,6553477	0,7983877	0,9130995	0,8188526	0,5993570	0,5543915	0,6805771	1,0405802	0,8940708	0,8277007	1,0125084	0,8722199	0,5852445	0,4113239	0,6764153	0,0562791	0,3299835	0,7277928	0,4939933	0,0149819	0,1589639	0,7569705	0,1496188	0,7513062	0,2895658	0,2203555	0,9400500	0,9068518	0,0900807
280	0,4967022	0,1924016	0,4097262	0,6520114	0,8514366	0,8749444	0,8221666	0,6236425	0,5555272	0,7347608	1,0476479	0,8665488	0,7929500	0,9834070	0,8426214	0,6132285	0,4287359	0,6194768	0,0479980	0,3480390	0,7210912	0,5175656	0,0171889	0,1894986	0,7579061	0,1809305	0,7663158	0,3066097	0,2285882	0,9414581	0,9270091	0,1390315
300	0,4724246	0,1764786	0,4375000	0,6541412	0,8783749	0,9109157	0,8296107	0,5880971	0,5443266	0,6772883	1,0785252	0,8720008	0,8831587	0,9825893	0,8559613	0,5996964	0,4126562	0,5544231	0,0606181	0,2944371	0,7081779	0,5686277	0,0072021	0,1432090	0,7546284	0,1497686	0,7623931	0,2888518	0,1996863	0,9308015	0,8842234	0,1378305
320	0,5159010	0,1863946	0,4472026	0,6499825	0,8766353	0,9126302	0,8085560	0,5796481	0,5738056	0,6796329	0,9909641	0,8185372	0,9158422	1,0682833	0,8637568	0,6005402	0,4224400	0,6342903	0,0669992	0,2748123	0,7412645	0,5296579	0,0073429	0,1875961	0,7017848	0,1409966	0,7471586	0,2846996	0,1870038	0,9309183	0,8548256	0,1346831
340	0,5126876	0,1998921	0,4794268	0,6662103	0,8247961	0,8916334	0,8113727	0,5655415	0,5758433	0,7286179	1,0303355	0,7717908	0,9473242	0,9395893	0,8472849	0,5927231	0,3348473	0,5728347	0,0617507	0,2936419	0,7301980	0,4899913	0,0062917	0,1347183	0,6613153	0,1597852	0,7309118	0,3164085	0,1920923	0,9553071	0,8300357	0,1300160
360	0,4627496	0,2123309	0,5268382	0,6664269	0,7983872	0,8805097	0,8537437	0,5612747	0,5934167	0,7161211	1,0531580	0,8571162	1,0097572	0,9907893	0,8593198	0,6272598	0,3674631	0,6203634	0,0667761	0,2988172	0,7317210	0,5262093	0,0045863	0,1268420	0,6034281	0,1448306	0,7615596	0,3144943	0,1896856	0,8891943	0,7941541	0,1278337
380	0,5129489	0,1973691	0,4805638	0,6271904	0,7784443	0,9021797	0,8548882	0,6094554	0,5762028	0,6979374	1,0200608	0,8255341	0,9812420	1,0255154	0,8969675	0,5774592	0,3489797	0,6363373	0,0610198	0,2951142	0,7127805	0,4814889	0,0050370	0,1480732	0,6349235	0,1602812	0,7194920	0,3108441	0,2005544	0,9417632	0,8172672	0,1296502
400	0,5377166	0,1799710	0,4622950	0,6205880	0,7623803	0,8839322	0,8457422	0,6383107	0,5751249	0,6584538	1,0083782	0,8187791	0,9727869	1,0429352	0,8695901	0,5660662	0,3467620	0,6371403	0,0698393	0,3119327	0,6344501	0,4550002	0,0066665	0,1083438	0,6344160	0,1655869	0,7269844	0,3272983	0,2025256	1,0018932	0,8797853	0,1499927
420	0,5251420	0,2027722	0,5287351	0,6429137	0,7539075	0,9106647	0,8636574	0,5585879	0,5750564	0,7035457	0,9759173	0,8515647	0,9952214	0,9915919	0,8780795	0,6010142	0,3599220	0,6129417	0,0683027	0,3188969	0,6400713	0,5114520	0,0065886	0,1800149	0,6011921	0,1743027	0,7591789	0,2895963	0,2124258	1,0210910	0,8795829	0,1553122
440	0,4996388	0,1998803	0,5198492	0,6338283	0,8172296	1,0037472	0,8900959	0,5163521	0,5714136	0,7959155	0,9540217	0,8532172	0,9966488	0,9508229	0,8940915	0,6062202	0,4043011	0,6320522	0,0620758	0,3226084	0,6382791	0,5177968	0,0113098	0,1299888	0,5980457	0,1697071	0,7114147	0,2749243	0,1771785	1,0257309	0,8554854	0,1255566
460	0,5167744	0,2378690	0,5422245	0,6422098	0,7997230	0,9111960	0,8166670	0,5394103	0,5990736	0,6856074	0,9246047	0,8782543	0,9373798	1,0236992	0,8955639	0,6229609	0,3851887	0,7059971	0,0534297	0,3076830	0,5706714	0,4897377	0,0117829	0,1241256	0,6115583	0,1608946	0,6782595	0,2510017	0,1444839	0,9836362	0,8379988	0,1428852
