"Time"	baeR	cpxR	csgD	rstA	ompR	bolA	rcsB	rcsA	flhC	hdfR	csgF	csgE	csgG	sra	ompF	mdtA	wcaB	mdtD	mdtB	baeS	csgB	wzc	wcaA	spy	wza	csgA	bdm	csgC	mdtC	wzb	rprA	osmB
260	0,0920220	0,0436353	0,6516528	1,0000000	1,0000000	0,0071881	0,9645716	0,0471991	0,3429524	1,0000000	0,8362626	0,9769600	0,8736195	0,8181919	0,7717078	0,0293276	0,0874892	0,9668392	0,0781024	0,0158817	0,8271062	0,9430962	0,5091298	0,8077426	0,1419158	0,9677587	0,6042322	0,9977538	0,0321445	0,5396533	0,1145759	0,0041872
280	0,0920248	0,0436353	0,6518314	1,0000000	1,0000000	0,0071465	0,9645578	0,0471991	0,3429545	1,0000000	0,8364866	0,9769845	0,8736581	0,8181906	0,7717078	0,0293277	0,0874559	0,9672356	0,0781025	0,0158817	0,8273625	0,9437963	0,5090989	0,8085764	0,1419158	0,9677750	0,6039434	0,9977544	0,0321473	0,5395363	0,1145759	0,0041872
300	0,0920272	0,0436353	0,6519605	1,0000000	1,0000000	0,0071228	0,9645497	0,0471991	0,3429560	1,0000000	0,8366444	0,9770025	0,8736873	0,8181878	0,7717078	0,0293278	0,0874327	0,9674808	0,0781025	0,0158817	0,8275686	0,9442567	0,5090760	0,8091084	0,1419158	0,9677876	0,6037283	0,9977550	0,0321496	0,5394526	0,1145759	0,0041872
320	0,0920293	0,0436353	0,6520529	1,0000000	1,0000000	0,0071092	0,9645450	0,0471991	0,3429572	1,0000000	0,8367562	0,9770157	0,8737091	0,8181849	0,7717078	0,0293279	0,0874167	0,9676325	0,0781025	0,0158817	0,8277313	0,9445593	0,5090591	0,8094479	0,1419158	0,9677973	0,6035711	0,9977554	0,0321516	0,5393933	0,1145759	0,0041872
340	0,0920310	0,0436353	0,6521186	1,0000000	1,0000000	0,0071015	0,9645422	0,0471991	0,3429580	1,0000000	0,8368359	0,9770252	0,8737253	0,8181825	0,7717078	0,0293280	0,0874056	0,9677265	0,0781026	0,0158817	0,8278579	0,9447579	0,5090469	0,8096644	0,1419158	0,9678046	0,6034579	0,9977557	0,0321533	0,5393514	0,1145759	0,0041872
360	0,0920325	0,0436353	0,6521651	1,0000000	1,0000000	0,0070970	0,9645406	0,0471991	0,3429586	1,0000000	0,8368927	0,9770320	0,8737372	0,8181806	0,7717078	0,0293281	0,0873979	0,9677848	0,0781026	0,0158817	0,8279551	0,9448881	0,5090380	0,8098026	0,1419158	0,9678100	0,6033773	0,9977560	0,0321547	0,5393221	0,1145759	0,0041872
380	0,0920338	0,0436353	0,6521977	1,0000000	1,0000000	0,0070945	0,9645396	0,0471991	0,3429591	1,0000000	0,8369333	0,9770369	0,8737459	0,8181792	0,7717078	0,0293281	0,0873927	0,9678210	0,0781026	0,0158817	0,8280289	0,9449735	0,5090316	0,8098908	0,1419158	0,9678140	0,6033204	0,9977562	0,0321560	0,5393017	0,1145759	0,0041872
400	0,0920348	0,0436353	0,6522206	1,0000000	1,0000000	0,0070931	0,9645391	0,0471991	0,3429594	1,0000000	0,8369622	0,9770403	0,8737523	0,8181782	0,7717078	0,0293282	0,0873891	0,9678436	0,0781026	0,0158817	0,8280843	0,9450294	0,5090270	0,8099470	0,1419158	0,9678169	0,6032804	0,9977563	0,0321570	0,5392875	0,1145759	0,0041872
420	0,0920357	0,0436353	0,6522365	1,0000000	1,0000000	0,0070923	0,9645387	0,0471991	0,3429596	1,0000000	0,8369828	0,9770428	0,8737569	0,8181775	0,7717078	0,0293282	0,0873867	0,9678577	0,0781026	0,0158817	0,8281256	0,9450659	0,5090237	0,8099829	0,1419158	0,9678190	0,6032526	0,9977564	0,0321579	0,5392777	0,1145759	0,0041872
440	0,0920365	0,0436353	0,6522475	1,0000000	1,0000000	0,0070918	0,9645386	0,0471991	0,3429598	1,0000000	0,8369974	0,9770445	0,8737602	0,8181770	0,7717078	0,0293283	0,0873850	0,9678666	0,0781027	0,0158817	0,8281560	0,9450898	0,5090214	0,8100058	0,1419158	0,9678205	0,6032332	0,9977565	0,0321586	0,5392709	0,1145759	0,0041872
460	0,0920372	0,0436353	0,6522551	1,0000000	1,0000000	0,0070915	0,9645384	0,0471991	0,3429599	1,0000000	0,8370078	0,9770457	0,8737626	0,8181766	0,7717078	0,0293283	0,0873838	0,9678722	0,0781027	0,0158817	0,8281784	0,9451054	0,5090198	0,8100204	0,1419158	0,9678215	0,6032199	0,9977566	0,0321593	0,5392662	0,1145759	0,0041872
480	0,0920377	0,0436353	0,6522604	1,0000000	1,0000000	0,0070914	0,9645384	0,0471991	0,3429600	1,0000000	0,8370151	0,9770466	0,8737644	0,8181764	0,7717078	0,0293283	0,0873830	0,9678758	0,0781027	0,0158817	0,8281947	0,9451156	0,5090186	0,8100297	0,1419158	0,9678223	0,6032106	0,9977567	0,0321598	0,5392630	0,1145759	0,0041872
