"Time"	slyA	hlyE	hns	cspA	bolA	stpA	bglJ	leuO	cadC	nhaR	bglF	bglB	bglG	yjjQ	nhaA	osmC	cadB	cadA	gspB	leuA	ampC	yciF	proW	smtA	leuC	gspO	yciG	pgaC	proV	pgaA	leuL	pgaB
300	1,0000000	0,9800837	0,8340001	1,0000000	0,0822956	0,5117656	0,0121808	0,0400821	0,6426961	0,7068171	0,0508540	0,0271144	0,3480164	0,0700082	0,1467069	0,1586914	0,5888568	0,3507626	0,6826985	0,0073216	0,9998406	0,4227492	0,1008728	0,7608712	0,0370099	0,1419818	0,0551275	0,9560994	0,0416028	0,8713580	0,0190640	0,2774023
320	1,0000000	0,9800837	0,8340001	1,0000000	0,0822956	0,5117656	0,0121808	0,0400821	0,6427029	0,7068165	0,0508540	0,0271144	0,3480164	0,0694250	0,1467056	0,1554134	0,5888723	0,3504810	0,6826985	0,0073216	0,9998406	0,4227492	0,1008728	0,7608712	0,0370099	0,1419816	0,0551275	0,9561101	0,0416028	0,8713864	0,0190640	0,2773973
340	1,0000000	0,9800837	0,8340001	1,0000000	0,0822956	0,5117656	0,0121808	0,0400821	0,6427087	0,7068159	0,0508540	0,0271144	0,3480164	0,0690094	0,1467047	0,1529365	0,5888853	0,3503076	0,6826985	0,0073216	0,9998407	0,4227492	0,1008728	0,7608712	0,0370099	0,1419815	0,0551275	0,9561161	0,0416028	0,8714024	0,0190640	0,2773935
360	1,0000000	0,9800837	0,8340001	1,0000000	0,0822956	0,5117656	0,0121808	0,0400821	0,6427135	0,7068155	0,0508540	0,0271144	0,3480164	0,0687143	0,1467039	0,1510713	0,5888963	0,3502011	0,6826985	0,0073216	0,9998407	0,4227492	0,1008728	0,7608712	0,0370099	0,1419814	0,0551275	0,9561194	0,0416028	0,8714113	0,0190640	0,2773905
380	1,0000000	0,9800837	0,8340001	1,0000000	0,0822956	0,5117656	0,0121808	0,0400821	0,6427176	0,7068152	0,0508540	0,0271144	0,3480164	0,0685054	0,1467033	0,1496710	0,5889055	0,3501361	0,6826985	0,0073216	0,9998407	0,4227492	0,1008728	0,7608712	0,0370099	0,1419813	0,0551275	0,9561213	0,0416028	0,8714163	0,0190640	0,2773882
400	1,0000000	0,9800837	0,8340001	1,0000000	0,0822956	0,5117656	0,0121808	0,0400821	0,6427211	0,7068150	0,0508540	0,0271144	0,3480164	0,0683580	0,1467029	0,1486224	0,5889133	0,3500967	0,6826985	0,0073216	0,9998407	0,4227492	0,1008728	0,7608712	0,0370099	0,1419813	0,0551275	0,9561223	0,0416028	0,8714190	0,0190640	0,2773864
420	1,0000000	0,9800837	0,8340001	1,0000000	0,0822956	0,5117656	0,0121808	0,0400821	0,6427240	0,7068148	0,0508540	0,0271144	0,3480164	0,0682543	0,1467025	0,1478391	0,5889198	0,3500730	0,6826985	0,0073216	0,9998407	0,4227492	0,1008728	0,7608712	0,0370099	0,1419812	0,0551275	0,9561229	0,0416028	0,8714205	0,0190640	0,2773850
440	1,0000000	0,9800837	0,8340001	1,0000000	0,0822956	0,5117656	0,0121808	0,0400821	0,6427264	0,7068146	0,0508540	0,0271144	0,3480164	0,0681814	0,1467023	0,1472552	0,5889254	0,3500589	0,6826985	0,0073216	0,9998407	0,4227492	0,1008728	0,7608712	0,0370099	0,1419812	0,0551275	0,9561231	0,0416028	0,8714214	0,0190640	0,2773839
460	1,0000000	0,9800837	0,8340001	1,0000000	0,0822956	0,5117656	0,0121808	0,0400821	0,6427285	0,7068145	0,0508540	0,0271144	0,3480164	0,0681303	0,1467020	0,1468207	0,5889300	0,3500507	0,6826985	0,0073216	0,9998407	0,4227492	0,1008728	0,7608712	0,0370099	0,1419812	0,0551275	0,9561233	0,0416028	0,8714218	0,0190640	0,2773831
480	1,0000000	0,9800837	0,8340001	1,0000000	0,0822956	0,5117656	0,0121808	0,0400821	0,6427302	0,7068144	0,0508540	0,0271144	0,3480164	0,0680946	0,1467019	0,1464979	0,5889339	0,3500460	0,6826985	0,0073216	0,9998407	0,4227492	0,1008728	0,7608712	0,0370099	0,1419812	0,0551275	0,9561233	0,0416028	0,8714221	0,0190640	0,2773824
