"Time"	araC	crp	rhaR	rhaS	melR	malI	feaR	zraR	mtlR	rbsR	rbsD	rbsA	araA	rhaA	araB	zraS	araG	rbsB	melA	rbsK	melB	araF	rbsC	rhaB	rhaD	araJ	araD	araE	malX	araH	malY	xylA
260	0,5181490	0,7176439	0,0479595	0,1151933	0,6309906	1,1069256	0,4048395	0,0239682	0,9976000	0,2560377	0,8587193	0,6321364	0,2459426	0,3320280	0,7055944	0,7008360	0,8299947	0,9302920	0,3985957	1,0523951	0,9369973	0,4951866	0,9180779	0,4662407	0,0867033	0,8462649	0,9431142	0,7326599	0,2256048	0,6733636	0,8613300	0,1309746
280	0,5605133	0,7326708	0,0354941	0,0998204	0,6769980	1,1577151	0,4331420	0,0347723	1,0457384	0,2609023	0,8871236	0,5976351	0,2348039	0,3738286	0,6927229	0,7550625	0,8274511	0,8977244	0,4057236	1,0452427	0,8690556	0,4586554	0,9097320	0,5036801	0,1040969	0,9640095	0,9124631	0,7321823	0,2215088	0,6065078	0,8084371	0,1352145
300	0,5604889	0,7281167	0,0477041	0,1077171	0,6557811	1,0498451	0,4490612	0,0259192	1,0472641	0,2396351	0,9168259	0,6258930	0,2183968	0,3865678	0,6953177	0,7638622	0,8811591	0,8712471	0,3960209	0,9522003	0,9167947	0,4682850	0,9211303	0,5204257	0,1040769	0,9422784	0,9145370	0,7456799	0,2048443	0,6271891	0,7908349	0,1088423
320	0,6232811	0,7513295	0,0337982	0,0933795	0,6763033	1,0214551	0,4481366	0,0198027	1,0180877	0,2839047	0,8563646	0,6677756	0,2309008	0,4586236	0,7090944	0,7692629	0,8884383	0,8797403	0,3729673	0,8927647	0,9833067	0,4433374	0,9022364	0,4942611	0,1085818	0,9077522	0,9141270	0,7513719	0,1800738	0,6932566	0,8416327	0,1248630
340	0,5572204	0,7126732	0,0641214	0,0929420	0,6777249	1,1347938	0,4655221	0,0495546	1,0464970	0,2978607	0,8710632	0,7012715	0,2160021	0,4639364	0,6956201	0,7911661	0,9641479	0,8929324	0,4151167	0,9566448	0,9877144	0,4076947	0,9599818	0,5302224	0,1187468	0,8784995	0,9310518	0,7187343	0,1464573	0,6757980	0,7919564	0,1346007
360	0,5928983	0,6498742	0,0808919	0,1037081	0,6944814	1,0932450	0,4606599	0,0504438	1,0843829	0,3026660	0,8475289	0,6612648	0,1889926	0,4719818	0,6820727	0,7710307	0,9030949	0,9821882	0,4003034	0,9992596	1,0298437	0,4086994	0,9623661	0,5353354	0,1007715	0,8726498	0,9421685	0,7370548	0,1489488	0,6326062	0,8276593	0,1221971
380	0,5937614	0,6812601	0,0584418	0,1158282	0,7231838	1,0925178	0,4316045	0,0522020	1,0530202	0,2796969	0,8641984	0,6602198	0,2080880	0,4920156	0,6760295	0,7668114	0,9862874	0,9086513	0,4198245	0,9854501	1,0595669	0,4001642	0,9233649	0,5344476	0,0953115	0,9741861	0,9436856	0,7441109	0,1449390	0,5974936	0,8624540	0,1082822
400	0,5819870	0,7633360	0,0597120	0,1292692	0,6749533	1,0331915	0,3877997	0,0567920	1,0269785	0,2470509	0,8046356	0,6361345	0,1780367	0,4952010	0,6695979	0,7453973	0,9535404	1,0050680	0,4270195	1,0180300	1,1135836	0,4296725	0,9387524	0,5378974	0,1099435	0,9767245	0,9271071	0,7179060	0,1851787	0,6465955	0,9125871	0,0917502
420	0,5361281	0,7553151	0,0617320	0,1220942	0,7138096	1,0191955	0,4422476	0,0406813	1,1101364	0,2375057	0,8085492	0,6314607	0,1656489	0,5053254	0,6970419	0,7858513	0,9459370	0,9959150	0,4180567	1,0461348	1,0674947	0,4504282	0,8986930	0,5354444	0,0894359	0,9855273	1,0022697	0,7347798	0,1704050	0,6855430	0,8305102	0,0712414
440	0,5531273	0,7406601	0,0730126	0,1226441	0,7224987	1,0778724	0,5031939	0,0509318	1,0792118	0,2488466	0,8224294	0,6581413	0,1967177	0,5087619	0,6068838	0,7977529	0,9606247	1,0482068	0,4217662	1,0086876	1,0634097	0,4756743	0,8982710	0,5120244	0,0796208	0,9002845	0,9641688	0,8060325	0,2080802	0,6991614	0,8372521	0,0820913
460	0,4958478	0,7358071	0,0753312	0,1156997	0,6235004	1,0256438	0,4925504	0,0377513	1,0399059	0,2905499	0,8269643	0,6246918	0,2022580	0,4756743	0,6157688	0,7767317	0,9679211	1,0203266	0,3699960	1,0290759	0,9450753	0,4821866	0,8788189	0,4763464	0,0734193	0,8516892	0,9303324	0,7931448	0,2218434	0,6624280	0,8520309	0,1177149
480	0,5197979	0,6862282	0,0600452	0,1094457	0,6664151	1,0741932	0,4077865	0,0241536	1,0137284	0,3168518	0,8267167	0,5401855	0,2106100	0,4614650	0,6922600	0,7995127	0,8907053	0,9562188	0,3880504	1,0095275	0,9086028	0,4287422	0,9016580	0,4303599	0,0805561	0,9173746	0,8547017	0,7748441	0,2122498	0,6489982	0,9263456	0,1537785
500	0,5523266	0,6656613	0,0586033	0,0858079	0,6684100	1,1029230	0,3404805	0,0452679	1,0470421	0,2752648	0,7820525	0,5730410	0,2777781	0,4442953	0,6473536	0,7300728	0,8541442	0,9136757	0,4234781	0,9876050	0,9202755	0,4358400	0,9069268	0,4288416	0,0720615	0,8634670	0,9114624	0,7773791	0,2414493	0,6431933	0,9407351	0,1500041
520	0,5726293	0,6830485	0,0570648	0,0746360	0,6068065	1,0874551	0,3926605	0,0433022	1,0846462	0,2854167	0,8793558	0,5903229	0,2441653	0,5224398	0,6142576	0,7778210	0,8687364	0,9581173	0,4324528	0,9434491	1,0618320	0,4273140	0,8855988	0,4654552	0,0855330	0,9076760	0,9281413	0,6989600	0,2276055	0,6689965	0,9668179	0,1525090
540	0,6049107	0,7157000	0,0444930	0,0792661	0,6135147	1,0238788	0,4638901	0,0370139	1,0602823	0,2632163	0,8558470	0,5804651	0,2095337	0,4593045	0,6696449	0,8262252	0,8820171	0,8495828	0,4590730	0,9556670	1,0024272	0,3976281	0,9609541	0,4657935	0,0801678	0,8898723	0,9013887	0,7603899	0,2241486	0,6636800	0,9095315	0,1458497
560	0,5515327	0,6279005	0,0281015	0,0880856	0,6694841	0,9880170	0,4384431	0,0342605	1,0413506	0,2817856	0,8774475	0,5818651	0,1903558	0,3958628	0,6363886	0,7820183	0,8563054	0,8461372	0,4636643	0,9786840	1,0228814	0,4182894	0,9091728	0,5190657	0,0749479	0,8213777	0,9345628	0,7209759	0,2075774	0,5989120	0,8759177	0,1326993
580	0,5673909	0,7518450	0,0425252	0,0913868	0,6056344	0,9783030	0,4027747	0,0262911	1,0724910	0,2597151	0,8530903	0,5759454	0,2181996	0,4282236	0,6321655	0,7799982	0,8503067	0,7615066	0,4788630	0,9526062	0,9997520	0,4637063	0,8697337	0,4909947	0,0835455	0,7454230	0,7907877	0,7266960	0,2028114	0,5901662	0,8546929	0,1307460
600	0,5193922	0,7545745	0,0418195	0,0937060	0,7210305	0,9932034	0,4499479	0,0307855	1,0906336	0,2831097	0,8486588	0,6253199	0,2121713	0,4347073	0,6187246	0,7248219	0,8024324	0,8215465	0,4493000	0,8799789	0,9654315	0,4301833	0,9227545	0,4658929	0,0893672	0,6954052	0,8207916	0,7369077	0,2065586	0,5746917	0,8226187	0,1477329
620	0,5614907	0,6842986	0,0493299	0,0967065	0,6765060	0,9363201	0,4432095	0,0349175	1,0831633	0,2850682	0,8356570	0,6379173	0,1834392	0,4114384	0,6131230	0,6821012	0,7465530	0,8475465	0,4524238	0,9612207	1,0206523	0,4048584	0,9541184	0,4878649	0,0790255	0,6336618	0,8726936	0,6913257	0,2047329	0,5090145	0,9217175	0,1609456
640	0,5710127	0,7208304	0,0531446	0,0851196	0,6459728	1,0175682	0,4202900	0,0546143	1,0876012	0,2803811	0,8873326	0,6170236	0,2800705	0,3904696	0,6314583	0,6247285	0,7222322	0,8402259	0,4459390	0,9549039	1,0351209	0,4384233	0,9149897	0,4528900	0,0768025	0,5665766	0,9879510	0,7313934	0,1895237	0,4938014	0,9147299	0,1859025
660	0,5497144	0,6682729	0,0401913	0,0896977	0,6806859	1,0100865	0,4933623	0,0624418	1,0491606	0,2598942	0,9086713	0,5875635	0,2806052	0,3619068	0,6732357	0,6202402	0,6750750	0,8416219	0,4578054	1,0281365	1,1077841	0,4355674	0,9309928	0,4335469	0,0705276	0,4906333	0,9591236	0,6833833	0,2492604	0,4482296	0,9161793	0,2074827
680	0,5143729	0,7178710	0,0310572	0,0876430	0,7206961	1,0165859	0,4788061	0,0684634	1,1632431	0,2576127	0,8897381	0,6111128	0,2040183	0,4600478	0,6850894	0,5328180	0,6143392	0,8039539	0,4206860	1,0201193	1,1204572	0,4738507	0,9524140	0,4789446	0,0601033	0,5011492	1,0169700	0,6647988	0,2367549	0,4339247	1,0092228	0,2356586
700	0,5558191	0,7915925	0,0332342	0,0954327	0,6589607	0,9571956	0,4743270	0,0555054	1,2016495	0,2705244	0,9340542	0,6293446	0,2216967	0,4700036	0,7510821	0,4848213	0,6007978	0,7672546	0,3822773	0,9938749	1,1158444	0,5378737	0,9178414	0,4737322	0,0876558	0,4395785	1,0508210	0,6098302	0,2401628	0,4346748	0,9560961	0,2309691
720	0,5795478	0,7079982	0,0684299	0,0870305	0,6802692	0,9165998	0,5308219	0,0600322	1,1665216	0,2653436	0,8658401	0,6097354	0,2251088	0,4860409	0,6946510	0,5498471	0,5776035	0,8027336	0,3522312	1,0505503	1,0896646	0,5518655	0,9222567	0,4866246	0,0760529	0,4345752	0,9988087	0,6164592	0,2298638	0,4774857	0,9323702	0,2022866
740	0,6046827	0,6979501	0,0806823	0,0877412	0,6290914	0,9983400	0,5374153	0,0458565	1,0584419	0,2761291	0,8624358	0,5198172	0,2011621	0,5362947	0,6189171	0,5173886	0,5963536	0,8924633	0,3158685	1,0500250	1,0698881	0,5415983	0,9877130	0,4669029	0,0954301	0,4662655	0,9856758	0,5777468	0,2102905	0,4551262	0,9389267	0,2056989
760	0,5218679	0,6500081	0,0826814	0,0815826	0,6637608	1,0516359	0,4529628	0,0258491	1,1045033	0,2961496	0,8891754	0,5872904	0,2519377	0,5055908	0,6107392	0,5240108	0,5859038	0,9070619	0,3039343	1,0018711	1,0973176	0,4905940	0,9296708	0,4969903	0,0849695	0,4486597	0,9498776	0,5820241	0,2194098	0,4506146	0,8934080	0,1938308
780	0,5244893	0,6889247	0,0729744	0,0767971	0,6224938	1,0463185	0,4003951	0,0147785	1,2042549	0,2436765	0,8948880	0,6071893	0,2199830	0,5030138	0,6263557	0,4643532	0,6029751	0,8611397	0,3577535	1,0055087	1,1127151	0,4669421	0,9746062	0,4717055	0,0702911	0,3807379	1,0183219	0,5935168	0,2408578	0,4339748	0,8783152	0,2117481
800	0,5511037	0,7086747	0,0484426	0,0714337	0,6407551	1,0064780	0,4344354	0,0326914	1,2035319	0,2693272	0,8466976	0,5404311	0,2134730	0,4586646	0,5998217	0,4932203	0,5648091	0,8071941	0,3811536	0,9491326	1,1257425	0,4944648	0,9816691	0,4704086	0,0699373	0,4222621	0,9673202	0,5640000	0,2257045	0,4555924	0,9359495	0,2147423
820	0,5466302	0,7182526	0,0515667	0,0725535	0,6425474	0,9743498	0,4427769	0,0287909	1,1703211	0,2488046	0,7870493	0,6127197	0,2495260	0,4292907	0,6416593	0,4907508	0,5466127	0,8002127	0,4016652	1,0172908	1,1451246	0,5149462	0,9860311	0,4550409	0,0652589	0,4081007	0,9342378	0,6222453	0,2471039	0,4221784	0,8967987	0,1926603
840	0,5288664	0,6533249	0,0422615	0,0709537	0,6768999	1,0486492	0,4635803	0,0257219	1,1901146	0,2658682	0,8428612	0,6289838	0,2559017	0,3611833	0,6615561	0,4558028	0,5288359	0,7616296	0,4126841	1,0529236	1,0619780	0,5087207	1,0245688	0,5140549	0,0619505	0,4574452	0,9275289	0,5921427	0,2406407	0,4538344	0,9082988	0,1884169
860	0,5356180	0,6788725	0,0723120	0,0763129	0,6893985	0,9677683	0,3832100	0,0254961	1,1509968	0,2782802	0,7875998	0,7068316	0,2139116	0,3705796	0,6976161	0,4529838	0,5501158	0,7872443	0,4232584	1,0472426	1,0462307	0,4306356	0,9846915	0,4948655	0,0762732	0,3827932	0,9566970	0,5874474	0,1793427	0,4310649	0,9133720	0,1693446
880	0,5853798	0,6506868	0,0683786	0,0767596	0,6726498	0,9532953	0,3818931	0,0244740	1,1774705	0,2755326	0,8517952	0,5863315	0,2481273	0,4143068	0,6671573	0,4912578	0,4954967	0,8268636	0,3798896	1,0305757	1,0563549	0,4362169	1,0042513	0,4955229	0,0653334	0,4103196	0,9507566	0,5793635	0,2095781	0,4688694	0,9210661	0,2005463
900	0,6549396	0,7859760	0,0619475	0,0849822	0,6730523	0,9538125	0,4050942	0,0316021	1,0934244	0,2488796	0,7834285	0,5704276	0,2477461	0,4488902	0,5832070	0,5128836	0,5981465	0,8303663	0,3616637	1,0696041	0,9818005	0,4005743	1,0359539	0,4840197	0,0690919	0,4636760	0,9429499	0,6018515	0,2120483	0,4212087	0,8397263	0,2218852
920	0,6079321	0,7216046	0,0677452	0,0883669	0,6445823	0,9153638	0,4472054	0,0389763	1,0316368	0,2500544	0,8123528	0,5759111	0,2093595	0,4652388	0,5588477	0,4317042	0,6186515	0,7947445	0,3533086	1,0511314	1,0073187	0,4385751	1,0568713	0,4654344	0,0754582	0,5185499	0,9492191	0,6005470	0,2200681	0,3866709	0,8188719	0,2523158
940	0,5104957	0,7041377	0,0467617	0,0730991	0,6319377	0,9407654	0,5007069	0,0200934	1,0233962	0,2390951	0,8567050	0,5906336	0,1747513	0,5025623	0,5902416	0,4339849	0,6293613	0,7584482	0,3511552	1,0493875	0,9709974	0,4615941	1,0101291	0,4691160	0,0645369	0,4867726	0,9158144	0,6178536	0,2693342	0,4065512	0,8050874	0,2523570
960	0,5035854	0,6829774	0,0522586	0,0658070	0,6313153	0,9749316	0,4448263	0,0416459	1,0412589	0,2562143	0,7813066	0,5989056	0,2149352	0,4768150	0,5981163	0,5029730	0,6491862	0,7759172	0,3878040	1,0505653	0,9487214	0,4292526	1,0064970	0,4815007	0,0542788	0,4458852	0,9345244	0,6525290	0,2349938	0,3781039	0,8067321	0,2638810
980	0,5822614	0,8005566	0,0769694	0,0582357	0,6537689	0,9735112	0,3876943	0,0476736	1,0551494	0,2786383	0,8225652	0,6420198	0,2159172	0,3972756	0,6340110	0,5309533	0,6250205	0,7850672	0,3838747	1,0542781	0,9728452	0,4619692	0,9508126	0,4670085	0,0471918	0,3915593	0,9295290	0,6178662	0,2081318	0,4525921	0,7572308	0,2295248
1000	0,5660847	0,6857307	0,0895728	0,0547147	0,7754263	1,0115251	0,4779050	0,0506190	1,0761932	0,3192626	0,9118053	0,6294810	0,2073000	0,3549891	0,5791288	0,5094875	0,6039985	0,8579642	0,3986040	1,0280355	0,9122211	0,4289676	0,8945375	0,5093394	0,0556666	0,4563668	0,9605820	0,6086051	0,2032603	0,4982253	0,7864786	0,2227834
1020	0,5613707	0,6803532	0,0776925	0,0633204	0,7428449	1,0373481	0,4584741	0,0564405	1,0398898	0,3498593	0,8396218	0,5831733	0,2654875	0,2770266	0,5912321	0,5637679	0,5989706	0,8923335	0,4213298	1,1009842	0,9496347	0,4580953	0,8432313	0,5081585	0,0659959	0,4724415	0,9502456	0,6198842	0,1891202	0,4894987	0,7419083	0,2181749
1040	0,5649306	0,7590141	0,0646864	0,0690966	0,6577349	0,9333661	0,4604086	0,0575354	1,0966244	0,3251584	0,8283578	0,6050298	0,2801443	0,2730582	0,5719022	0,5579606	0,6245185	0,8517785	0,4194728	1,1003471	0,9097479	0,4552361	0,9138943	0,4585536	0,0616579	0,4465478	0,9655186	0,6700420	0,1698194	0,4400396	0,7742269	0,2167538
1060	0,5398309	0,7422915	0,0610673	0,0752300	0,6687226	0,9079701	0,5083345	0,0472848	1,1035815	0,2942226	0,8097468	0,6767760	0,2749886	0,2726075	0,5721375	0,4967772	0,6031887	0,8275192	0,3998244	1,0618708	0,9485401	0,4433110	0,9231159	0,5012337	0,0581326	0,4823491	0,9542149	0,6668486	0,2081636	0,4481069	0,7786583	0,1862815
1080	0,5701713	0,6459780	0,0455257	0,0769101	0,6981561	0,8450784	0,4698541	0,0637116	1,1136960	0,2731092	0,8309556	0,6822162	0,2618692	0,3191273	0,5737327	0,4734302	0,5786396	0,8960319	0,4097319	1,0020176	0,9182768	0,4258521	0,9478131	0,4835793	0,0707826	0,4626865	0,9349154	0,6217932	0,2347477	0,4920934	0,7935815	0,2120667
1100	0,5043500	0,7486088	0,0408164	0,0897064	0,6867297	0,9499634	0,4323611	0,0553706	1,1521039	0,2529733	0,8836511	0,6619974	0,2454704	0,2843097	0,5950548	0,5114730	0,5104722	0,9037801	0,3728357	1,0247826	0,9170746	0,3959171	0,9020246	0,4383140	0,0707790	0,4039971	1,0102710	0,6715616	0,2758850	0,4471962	0,8012302	0,2326455

