"Time"	lldR	arcA	betI	xylR	gadX	torR	rutR	gadW	nemR	gadE	gadA	hdeB	yhiD	hdeA	gadC	cadA	cadB	gadB	mdtE	mdtF	betB	betT	lldD	gadY	betA	lldP	nemA	slp	dctR	hdeD	rutD	rutA
300	0,4964345	0,5364758	0,3792723	0,0892106	0,6506740	0,5341964	0,4154671	0,3987507	0,2730367	0,6226364	0,6161151	0,5100177	0,6301241	0,6310551	0,5214056	0,7146903	0,0409119	0,6779400	0,5299656	0,6514918	0,1088301	0,2384258	0,2170735	0,6890057	0,6670275	0,1827772	0,1085750	0,5188700	0,7692477	0,2528469	0,4553161	0,4048020
320	0,5537340	0,4780154	0,5011042	0,1104088	0,5304748	0,4800352	0,5483764	0,3124200	0,2813032	0,4585677	0,6491125	0,4165855	0,6604015	0,6645142	0,6681214	0,6747763	0,0197634	0,6696852	0,5653710	0,5364520	0,1094708	0,2119175	0,1819337	0,6160185	0,5293525	0,2251238	0,1695056	0,5117564	0,8129274	0,3716334	0,2821255	0,4367243
340	0,4741019	0,4718455	0,5587219	0,1599122	0,6638644	0,4440955	0,4062752	0,3021199	0,2993275	0,4995308	0,5916418	0,4450126	0,5378875	0,6881997	0,5214989	0,6127733	0,0552168	0,6364251	0,5468730	0,5560436	0,1067100	0,2077087	0,2437837	0,5465019	0,6081321	0,1979737	0,1096151	0,5553798	0,7221960	0,2794566	0,4031576	0,4203715
360	0,5042008	0,4717972	0,5044694	0,0816350	0,7082782	0,5103761	0,5566653	0,3103623	0,2579985	0,5610232	0,7789740	0,5297485	0,6423319	0,7246867	0,5033969	0,6397926	0,0580700	0,6386470	0,5524529	0,5872144	0,1740630	0,2673409	0,1349728	0,7642523	0,5141187	0,2085870	0,1210187	0,6850742	0,7748409	0,3415537	0,3129697	0,4767582
380	0,4745255	0,5503667	0,5202713	0,1317721	0,5486438	0,4033194	0,4725500	0,2614320	0,3010544	0,5104519	0,7057438	0,5014678	0,5920990	0,7756278	0,4047098	0,6234444	0,0503846	0,7686850	0,6164175	0,5102502	0,1533204	0,2358681	0,1855172	0,6490803	0,4881211	0,2975382	0,0983572	0,4487832	0,7002886	0,3060284	0,4902117	0,3621539
400	0,6179891	0,5010039	0,6194899	0,1399676	0,6012715	0,4743532	0,4515457	0,2800739	0,3326122	0,5259424	0,7621288	0,5810163	0,6197969	0,6312696	0,4284559	0,6108056	0,0595585	0,8497243	0,6006550	0,6307659	0,1194163	0,2343573	0,1839734	0,5821553	0,5043605	0,2549485	0,1228942	0,4909014	0,5745168	0,2805217	0,4123117	0,4849487
420	0,5827536	0,5750491	0,6952832	0,1108033	0,4922320	0,4187972	0,5536756	0,3537423	0,3614953	0,4892425	0,7401725	0,4337164	0,6484976	0,6988333	0,5285344	0,5725607	0,0400406	0,6217098	0,5863835	0,6149545	0,0743467	0,1840082	0,1524174	0,5375229	0,4322813	0,2817273	0,1598484	0,5097427	0,6624425	0,3160443	0,3990791	0,3945186
440	0,5106523	0,5350436	0,4408313	0,1098321	0,6672568	0,4731690	0,5716065	0,3028485	0,3663978	0,5310587	0,5923302	0,4302073	0,6288658	0,7556869	0,4355007	0,6249059	0,0300413	0,6460014	0,4193432	0,5217069	0,1682999	0,2670405	0,1690099	0,7079230	0,6596829	0,2334060	0,0853308	0,5526051	0,6140415	0,3154730	0,3728182	0,3850949
460	0,4157915	0,5093320	0,5764367	0,1335665	0,5737336	0,3691961	0,4854176	0,3678065	0,2621548	0,5936124	0,7027630	0,4555828	0,5468506	0,7169016	0,5641287	0,6197117	0,0357942	0,6676154	0,4827892	0,6538381	0,0963122	0,2381907	0,1522861	0,5423444	0,6078095	0,1947252	0,1546928	0,5616849	0,7485624	0,3232696	0,3517885	0,3692818
480	0,6032024	0,4297029	0,6574125	0,1270640	0,6418940	0,4681952	0,4869045	0,4394934	0,2992202	0,6729614	0,8185938	0,4252653	0,5722965	0,6761270	0,5220018	0,5960430	0,0436225	0,6971204	0,4258030	0,7134362	0,1711211	0,1695143	0,0847869	0,5290304	0,4240422	0,2495927	0,1314468	0,5196948	0,6194011	0,2956140	0,3390991	0,3690842
