"Time"	slyA	hlyE	hns	cspA	bolA	stpA	bglJ	leuO	cadC	nhaR	bglF	bglB	bglG	yjjQ	nhaA	osmC	cadB	cadA	gspB	leuA	ampC	yciF	proW	smtA	leuC	gspO	yciG	pgaC	proV	pgaA	leuL	pgaB
260	0,7936940	0,6879169	0,5987889	0,6645499	0,0526000	0,3683992	0,0049934	0,0352576	0,4871662	0,5181839	0,0639142	0,0132678	0,3204640	0,0522593	0,1458859	0,0926714	0,4312707	0,3317756	0,5611860	0,0107648	0,8382629	0,3207770	0,0484462	0,5148903	0,0119045	0,1120307	0,0424697	0,7121886	0,0251632	0,5607600	0,0242333	0,2999633
280	0,6806061	0,7935888	0,5699856	0,7079781	0,0748351	0,3976357	0,0048043	0,0244377	0,5107981	0,5435787	0,0339055	0,0219897	0,1723912	0,0691050	0,0939735	0,1194405	0,4607898	0,3057474	0,5371941	0,0113055	0,6911678	0,3100032	0,0268491	0,6654720	0,0332314	0,1470241	0,0658494	0,7688824	0,0225566	0,8445011	0,0265342	0,2038269
300	0,6688826	0,5902365	0,6261044	0,6948107	0,0703024	0,4663255	0,0072217	0,0232641	0,4558001	0,6231981	0,0615699	0,0048613	0,3224582	0,0554267	0,0892873	0,1278362	0,4622630	0,3756699	0,4861345	0,0020571	0,7758363	0,3491563	0,0510838	0,4402519	0,0188952	0,0878979	0,0295551	0,6913072	0,0183545	0,5678564	0,0178545	0,2227240
320	0,6588118	0,6042810	0,5587333	0,6814859	0,0592950	0,4215284	0,0046191	0,0230077	0,4531391	0,5743746	0,0612387	0,0376353	0,2473374	0,0882439	0,0880613	0,0966790	0,6639124	0,3687622	0,6684215	0,0031031	0,6826256	0,3383234	0,0342217	0,6228550	0,0214857	0,0800684	0,0330874	0,6393647	0,0102451	0,6163010	0,0271532	0,2299171
340	0,6287994	0,6825059	0,6485613	0,8241039	0,0468683	0,3686408	0,0102236	0,0310697	0,3895805	0,6097243	0,0281124	0,0066605	0,3641676	0,0534470	0,1328648	0,1012766	0,5757960	0,3037776	0,5725576	0,0066426	0,6906059	0,3554418	0,0282207	0,6913402	0,0267350	0,1321826	0,0230183	0,8516756	0,0123229	0,6178849	0,0132767	0,2134427
360	0,7154090	0,5938060	0,6772060	0,7297919	0,0352904	0,3421387	0,0116099	0,0376315	0,3945134	0,4721790	0,0319801	0,0184321	0,2895680	0,0498022	0,0893229	0,1367243	0,5893701	0,2249169	0,4881884	0,0090077	0,6855699	0,3278203	0,0489053	0,5383673	0,0219887	0,1552796	0,0205380	0,7297590	0,0324482	0,5821835	0,0118678	0,2510110
380	0,5830034	0,6482018	0,6465857	0,6235231	0,0744956	0,4455762	0,0119053	0,0312677	0,4751409	0,5438001	0,0424455	0,0247525	0,2853462	0,0426810	0,1320899	0,1948822	0,4746593	0,2701517	0,5048565	0,0047970	0,8139510	0,3403088	0,0529613	0,4292347	0,0413045	0,1073114	0,0408100	0,6353328	0,0397901	0,6676651	0,0235462	0,2275780
400	0,6925427	0,5586891	0,5126145	0,7666248	0,1096119	0,3173157	0,0110790	0,0241512	0,4207443	0,6545135	0,0709402	0,0215030	0,2675415	0,0994692	0,1104054	0,0787886	0,4639492	0,2811621	0,5520422	0,0080845	0,6006751	0,2626151	0,0712419	0,4568882	0,0148351	0,1777145	0,0386573	0,6990964	0,0481804	0,6561692	0,0463955	0,2228637
420	0,7067026	0,6790864	0,5740509	0,6067588	0,0716908	0,2975008	0,0174948	0,0375714	0,5746839	0,5964875	0,0244112	0,0235548	0,3158735	0,0535173	0,0928223	0,1407544	0,4055781	0,2606631	0,5065132	0,0123608	0,6633850	0,2980857	0,0767218	0,5323088	0,0250001	0,1279749	0,0847859	0,7643448	0,0529130	0,6616740	0,0501120	0,2053940
440	0,6801782	0,7860930	0,7123794	0,6976804	0,0433980	0,3908928	0,0112986	0,0329667	0,4695467	0,5816178	0,0311793	0,0320294	0,1885377	0,0563538	0,1071241	0,0841580	0,3700935	0,2525958	0,4992433	0,0105481	0,6502559	0,2595418	0,0760464	0,4473096	0,0218807	0,0880052	0,0297489	0,6811832	0,0339775	0,7210749	0,0468458	0,2310856
460	0,7851089	0,5875248	0,5457538	0,6366366	0,0650089	0,3710498	0,0177185	0,0306023	0,5200361	0,5406703	0,0320485	0,0330163	0,2631404	0,0400602	0,1075647	0,0703128	0,4720428	0,2779611	0,5635039	0,0222268	0,8113999	0,2447894	0,0809462	0,6944707	0,0440316	0,1156356	0,0851218	0,6794789	0,0232216	0,8059357	0,0203276	0,1864569
