melR	crp	rhaR	rhaS	feaR	malI	zraR	mtlR	rbsR	prpR	rbsK	rhaB	malY	rbsB	prpB	prpE	rhaA	melA	prpD	rbsD	malX	rbsA	melB	zraS	rhaD	prpC	rbsC	rhaT	mtlD	mtlA	ychH	agp
0.0	0.0	0.0	0.4346563967755002	0.0	0.0	0.5065645767194975	0.0	0.0	0.0	0.0	0.0	0.0	0.5283119799678858	0.09106443012311251	0.0	0.05694347044347533	0.2809992987581057	0.0	0.0	-0.5870796465314925	0.0	-0.05544313488562459	0.6403830968886204	0.0	0.0	0.0	0.0	0.7896774857485482	0.0	0.23678615289259444	0.0
0.0	0.3793382821948778	0.0	0.46277502671535437	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.6975010386668146	0.29673858151004573	0.0	0.0	0.0	0.10660873501677937	0.8995792009642395	0.0	0.0	0.8299494343825945	0.0	0.5729667164962329	0.8987338698011481	0.0	0.0	0.0	0.9701142748066971	-0.19618354117767656	0.0	0.0
0.0	0.0	0.0	0.3317776911770863	0.4026914086021381	0.0	0.6701882894435722	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15731326962715694	0.4893142167397303	0.0	0.20879363797784817	0.0	-0.038567204725243776	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.44353684069858634	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.5038449775893241	0.0	0.0	-0.9040024916175753	0.0	0.0	0.0	0.8300100223336996	0.11819563535158462	0.3228243382887962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34785995036417294	0.0	0.39638611247705313	-0.1934316263933643	0.0	0.3508839477093645
0.0	0.0	0.0	0.0	0.0	0.0	0.009188774815370466	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8794254342111865	0.0	0.0	0.26720947221969193	0.0	0.0	0.0	0.0	0.04286294823478108	0.0	0.0	0.0	0.34799046055467475	0.0	0.7908523284544984	0.0	0.0	0.0
0.0	0.0	0.5043697939255957	0.0	0.5534412801094252	0.0	0.0	0.0	-0.22133177728392184	-0.2695308371912688	0.0	0.0	0.0	0.0	0.0	0.8137085743877037	0.3735834281601638	0.639788701051147	0.5576635127196136	0.1657219349238373	0.0	0.13429913041343478	0.6911650721166576	0.751897106423933	0.48199596875427597	0.6856470603609071	0.2911200899170493	0.16717803628620928	0.0	0.0	0.0	0.0
-0.4587813729949315	0.0	0.0	0.0	0.0	0.0	0.4982599679665464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4540232394839743	0.8676349298260106	0.2018853629183651	0.0	0.0	0.4516417388170309	-0.8170432772021741	0.0	0.6504263393298084	0.0	0.6684446662206792	0.0	0.0	0.0	0.0	0.0	0.8594026076186795	0.0
0.0	0.0	0.0	0.5451719130268258	0.0	-0.687020700192079	0.0	0.0	0.0	0.0	0.0	0.2924927862707632	0.0	0.0	0.0	0.5519903503521277	0.3302909767430902	0.0	0.46478694847394253	-0.010480821894546632	0.0	0.0	0.5925926773060406	0.1869285935647375	0.0	0.6785774319080249	0.35645796461084533	0.0	0.0	0.0	0.0	0.0
0.32450743531174764	0.0	0.12749082176030913	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.6158270456362516	0.7015176445821013	0.0	0.0	0.0	0.0	0.0	-0.22754631290963817	0.0	0.09371193964195934	0.23073010493035562	0.0	0.0	0.6040012337846294	0.0	0.0	0.0	0.0	0.0	0.0
0.39269522157795533	0.0	0.24843012052604296	0.0	0.3986453153952854	-0.6998994417954236	0.5451184162689198	0.24160545276393092	0.0	-0.4571634903550148	0.35181338204923673	0.0	0.0	0.8831877706216361	0.0	0.0	0.0	0.0	0.02748414229210938	0.0	0.0	0.8826911381927648	0.0	0.0	0.0	0.0	0.0	0.7278140272150678	0.33417835661152395	-0.006426554725409983	0.0	0.48640255003773947
