"Time"	argP	dnaA	phoB	recF	dnaN	nrdA	nrdR	fis	mtlR	marR	nrdB	guaB	mtlD	mtlA	guaA	marB	glyU	valX	phnK	lysV	glnV	phnP	phnH	leuV	pheU	psiF	topA	aspV	thrU	phnG	alaW	tyrU
260	0,0152137	0,6187873	0,0381285	0,0299583	0,2699593	0,6042141	1,0000000	0,5599390	0,2915353	0,3997115	0,3183038	0,7084634	0,1512836	0,6305394	0,5787500	0,5862870	0,3129366	0,3085485	0,9983901	0,0515830	0,9747381	0,0270946	0,0503956	0,8635312	0,9265327	0,0567970	0,9993779	0,8213097	0,9948696	0,7421653	0,9879834	0,3796094
280	0,0152137	0,6187873	0,0381285	0,0299583	0,2699593	0,6042141	1,0000000	0,5599390	0,2917926	0,3999190	0,3183038	0,7084634	0,1512483	0,6318688	0,5787500	0,5863247	0,3129366	0,3085485	0,9984173	0,0515829	0,9747387	0,0270946	0,0503956	0,8641443	0,9266270	0,0567970	0,9993780	0,8213176	0,9948696	0,7422359	0,9879834	0,3796094
300	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,2919202	0,4000213	0,3183038	0,7084634	0,1511844	0,6327830	0,5787500	0,5862892	0,3129366	0,3085485	0,9984352	0,0515829	0,9747390	0,0270946	0,0503956	0,8645391	0,9266874	0,0567970	0,9993780	0,8213219	0,9948696	0,7422725	0,9879834	0,3796094
320	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,2919711	0,4000598	0,3183038	0,7084634	0,1511214	0,6334037	0,5787500	0,5862269	0,3129366	0,3085485	0,9984471	0,0515829	0,9747393	0,0270946	0,0503956	0,8647934	0,9267261	0,0567970	0,9993781	0,8213243	0,9948696	0,7422915	0,9879834	0,3796094
340	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,2919813	0,4000637	0,3183038	0,7084634	0,1510710	0,6338219	0,5787500	0,5861626	0,3129366	0,3085485	0,9984550	0,0515829	0,9747395	0,0270946	0,0503956	0,8649572	0,9267508	0,0567970	0,9993781	0,8213256	0,9948696	0,7423014	0,9879834	0,3796094
360	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,2919733	0,4000513	0,3183038	0,7084634	0,1510355	0,6341032	0,5787500	0,5861078	0,3129366	0,3085485	0,9984602	0,0515829	0,9747396	0,0270946	0,0503956	0,8650627	0,9267667	0,0567970	0,9993781	0,8213263	0,9948696	0,7423065	0,9879834	0,3796094
380	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,2919596	0,4000335	0,3183038	0,7084634	0,1510128	0,6342929	0,5787500	0,5860659	0,3129366	0,3085485	0,9984637	0,0515829	0,9747397	0,0270946	0,0503956	0,8651307	0,9267768	0,0567970	0,9993781	0,8213267	0,9948696	0,7423091	0,9879834	0,3796094
400	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,2919462	0,4000162	0,3183038	0,7084634	0,1509997	0,6344219	0,5787500	0,5860366	0,3129366	0,3085485	0,9984659	0,0515829	0,9747398	0,0270946	0,0503956	0,8651744	0,9267834	0,0567970	0,9993781	0,8213269	0,9948696	0,7423105	0,9879834	0,3796094
420	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,2919356	0,4000018	0,3183038	0,7084634	0,1509930	0,6345104	0,5787500	0,5860175	0,3129366	0,3085485	0,9984674	0,0515829	0,9747398	0,0270946	0,0503956	0,8652026	0,9267875	0,0567970	0,9993781	0,8213271	0,9948696	0,7423112	0,9879834	0,3796094
440	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,2919281	0,3999910	0,3183038	0,7084634	0,1509901	0,6345720	0,5787500	0,5860062	0,3129366	0,3085485	0,9984684	0,0515829	0,9747398	0,0270946	0,0503956	0,8652207	0,9267902	0,0567970	0,9993781	0,8213271	0,9948696	0,7423116	0,9879834	0,3796094
